person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_ac_bandpass_wavelet_db4_level3,ppg_red_raw
bao-12h45,10,,,24080,46.459894,23815
bao-12h45,50,,,24168,86.574960,23859
bao-12h45,90,,,24195,113.600502,23868
bao-12h45,130,,,24286,123.870926,23911
bao-12h45,170,,,24271,142.670448,23903
bao-12h45,210,,,24286,162.263708,23916
bao-12h45,250,,,24397,179.779340,23970
bao-12h45,290,,,24459,197.439617,24001
bao-12h45,330,,,24504,210.632247,24022
bao-12h45,370,,,24504,218.987992,24024
bao-12h45,410,,,24228,16.073840,23895
bao-12h45,450,,,23707,-420.761862,23640
bao-12h45,490,,,23447,-637.850971,23510
bao-12h45,530,,,23434,-659.385781,23507
bao-12h45,570,,,23664,-591.375894,23612
bao-12h45,610,,,24008,-332.211949,23779
bao-12h45,650,,,24152,-205.262825,23850
bao-12h45,690,,,24193,-216.735691,23870
bao-12h45,730,,,24288,-85.958650,23916
bao-12h45,770,,,24393,126.311057,23965
bao-12h45,810,,,24572,257.008565,24055
bao-12h45,850,,,24700,333.206525,24119
bao-12h45,890,,,24772,430.832988,24150
bao-12h45,930,,,24904,524.570839,24216
bao-12h45,970,,,24801,341.192344,24172
bao-12h45,1010,,,24178,-139.304380,23871
bao-12h45,1050,,,23867,-307.699464,23708
bao-12h45,1090,,,24001,-190.562035,23774
bao-12h45,1130,,,24154,-138.539867,23855
bao-12h45,1170,,,24290,-32.769385,23918
bao-12h45,1210,,,24370,35.392936,23959
bao-12h45,1250,,,24395,24.674014,23974
bao-12h45,1290,,,24433,59.098347,23992
bao-12h45,1330,,,24501,107.713299,24022
bao-12h45,1370,,,24541,153.095985,24046
bao-12h45,1410,,,24618,208.719240,24083
bao-12h45,1450,,,24683,257.137254,24113
bao-12h45,1490,,,24675,297.923262,24113
bao-12h45,1530,,,24620,221.358835,24088
bao-12h45,1570,,,24222,11.629188,23899
bao-12h45,1610,,,23875,-138.456318,23719
bao-12h45,1650,,,23796,-248.892706,23683
bao-12h45,1690,,,23854,-297.175233,23711
bao-12h45,1730,,,23915,-238.990336,23745
bao-12h45,1770,,,23975,-197.397951,23769
bao-12h45,1810,,,24000,-154.393230,23784
bao-12h45,1850,,,23997,-90.616430,23783
bao-12h45,1890,,,24029,-26.314924,23797
bao-12h45,1930,,,24073,40.993121,23820
bao-12h45,1970,,,24197,106.278611,23877
bao-12h45,2010,,,24301,173.797934,23927
bao-12h45,2050,,,24375,240.886304,23966
bao-12h45,2090,,,24311,106.193876,23938
bao-12h45,2130,,,23815,-251.560822,23695
bao-12h45,2170,,,23530,-375.111691,23549
bao-12h45,2210,,,23540,-286.177794,23553
bao-12h45,2250,,,23640,-221.150442,23601
bao-12h45,2290,,,23786,-89.356993,23677
bao-12h45,2330,,,23892,-6.381223,23726
bao-12h45,2370,,,23978,0.230758,23763
bao-12h45,2410,,,24004,50.633942,23775
bao-12h45,2450,,,24075,113.208092,23811
bao-12h45,2490,,,24138,160.266384,23843
bao-12h45,2530,,,24244,203.389550,23895
bao-12h45,2570,,,24321,231.189762,23933
bao-12h45,2610,,,24293,239.872523,23919
bao-12h45,2650,,,24120,93.567625,23840
bao-12h45,2690,,,23638,-226.538634,23601
bao-12h45,2730,,,23484,-360.512492,23520
bao-12h45,2770,,,23553,-320.353634,23553
bao-12h45,2810,,,23683,-284.493206,23618
bao-12h45,2850,,,23915,-177.960473,23729
bao-12h45,2890,,,24007,-108.875468,23776
bao-12h45,2930,,,24066,-96.252798,23802
bao-12h45,2970,,,24114,-10.893468,23829
bao-12h45,3010,,,24178,122.752044,23856
bao-12h45,3050,,,24303,221.445498,23918
bao-12h45,3090,,,24403,298.070206,23969
bao-12h45,3130,,,24482,384.878095,24008
bao-12h45,3170,,,24590,468.044032,24059
bao-12h45,3210,,,24599,349.462199,24066
bao-12h45,3250,,,24117,10.503232,23835
bao-12h45,3290,,,23798,-145.760692,23675
bao-12h45,3330,,,23786,-144.716976,23668
bao-12h45,3370,,,23839,-162.995830,23693
bao-12h45,3410,,,23949,-120.957646,23750
bao-12h45,3450,,,24003,-109.931735,23777
bao-12h45,3490,,,24002,-144.651847,23778
bao-12h45,3530,,,24033,-121.173616,23792
bao-12h45,3570,,,24080,-59.176982,23816
bao-12h45,3610,,,24156,-0.929866,23852
bao-12h45,3650,,,24255,66.496028,23902
bao-12h45,3690,,,24368,152.259807,23956
bao-12h45,3730,,,24446,251.906281,23997
bao-12h45,3770,,,24322,149.004026,23940
bao-12h45,3810,,,23793,-178.099518,23681
bao-12h45,3850,,,23587,-289.502391,23574
bao-12h45,3890,,,23657,-213.238909,23610
bao-12h45,3930,,,23750,-191.425471,23660
bao-12h45,3970,,,23867,-142.472322,23722
bao-12h45,4020,,,23904,-102.176065,23740
bao-12h45,4060,,,23908,-96.948203,23745
bao-12h45,4100,,,23929,-45.212150,23754
bao-12h45,4140,,,23953,40.069303,23766
bao-12h45,4180,,,24048,100.874434,23812
bao-12h45,4220,,,24145,145.524380,23861
bao-12h45,4260,,,24180,147.439789,23876
bao-12h45,4300,,,24213,91.745586,23891
bao-12h45,4340,,,24014,-31.691465,23800
bao-12h45,4380,,,23629,-239.477132,23604
bao-12h45,4420,,,23564,-319.048158,23569
bao-12h45,4460,,,23573,-261.524921,23579
bao-12h45,4500,,,23678,-189.394976,23628
bao-12h45,4540,,,23828,-51.291634,23699
bao-12h45,4580,,,23897,42.171319,23732
bao-12h45,4620,,,23965,74.926225,23759
bao-12h45,4660,,,24006,141.700952,23781
bao-12h45,4700,,,24074,214.391730,23815
bao-12h45,4740,,,24170,275.256352,23864
bao-12h45,4780,,,24237,332.294435,23899
bao-12h45,4820,,,24341,372.054128,23957
bao-12h45,4860,,,24373,391.439614,23973
bao-12h45,4900,,,24114,236.933616,23853
bao-12h45,4940,,,23635,-112.439702,23619
bao-12h45,4980,,,23497,-260.299247,23547
bao-12h45,5020,,,23525,-221.048284,23559
bao-12h45,5060,,,23654,-210.537111,23622
bao-12h45,5100,,,23843,-148.884845,23720
bao-12h45,5140,,,23864,-131.125544,23731
bao-12h45,5180,,,23854,-182.741883,23720
bao-12h45,5220,,,23876,-160.109317,23734
bao-12h45,5260,,,23872,-85.982866,23733
bao-12h45,5300,,,23982,-8.767859,23784
bao-12h45,5340,,,24155,92.723628,23864
bao-12h45,5380,,,24248,142.189748,23910
bao-12h45,5420,,,24320,129.224987,23945
bao-12h45,5460,,,24114,14.593078,23851
bao-12h45,5500,,,23687,-232.125221,23631
bao-12h45,5540,,,23692,-315.356086,23634
bao-12h45,5580,,,23804,-233.518427,23689
bao-12h45,5620,,,23961,-166.899267,23761
bao-12h45,5660,,,24128,-51.575309,23847
bao-12h45,5700,,,24198,26.305365,23882
bao-12h45,5740,,,24262,43.792744,23910
bao-12h45,5780,,,24314,89.016661,23936
bao-12h45,5820,,,24453,136.714961,24001
bao-12h45,5860,,,24551,167.621425,24049
bao-12h45,5900,,,24606,189.030577,24073
bao-12h45,5940,,,24676,189.230301,24110
bao-12h45,5980,,,24679,164.604587,24112
bao-12h45,6020,,,24440,39.901587,23999
bao-12h45,6060,,,24062,-197.639272,23809
bao-12h45,6100,,,24045,-233.460650,23800
bao-12h45,6140,,,24176,-63.754665,23862
bao-12h45,6180,,,24320,-0.230758,23935
bao-12h45,6220,,,24443,14.918523,23994
bao-12h45,6260,,,24429,37.074690,23989
bao-12h45,6300,,,24445,17.575016,23993
bao-12h45,6340,,,24448,48.952303,23998
bao-12h45,6380,,,24488,131.183834,24014
bao-12h45,6420,,,24609,184.115100,24071
bao-12h45,6460,,,24674,223.221468,24106
bao-12h45,6500,,,24701,193.492056,24119
bao-12h45,6540,,,24597,75.587369,24075
bao-12h45,6580,,,24122,-98.394499,23840
bao-12h45,6620,,,23836,-350.911230,23692
bao-12h45,6660,,,23847,-449.783660,23697
bao-12h45,6700,,,23900,-375.800147,23726
bao-12h45,6740,,,24049,-302.231627,23799
bao-12h45,6780,,,24112,-171.808237,23833
bao-12h45,6820,,,24166,-67.149772,23855
bao-12h45,6860,,,24271,-11.857074,23907
bao-12h45,6900,,,24314,77.244278,23925
bao-12h45,6940,,,24406,174.695327,23973
bao-12h45,6980,,,24535,240.860452,24034
bao-12h45,7020,,,24547,279.404183,24041
bao-12h45,7060,,,24546,178.461684,24042
bao-12h45,7100,,,24197,-83.689691,23879
bao-12h45,7140,,,23714,-230.566736,23635
bao-12h45,7180,,,23693,-277.335621,23624
bao-12h45,7220,,,23787,-257.803329,23666
bao-12h45,7260,,,23960,-107.480039,23754
bao-12h45,7300,,,24068,-43.709678,23812
bao-12h45,7340,,,24072,-62.271574,23814
bao-12h45,7380,,,24178,4.367882,23862
bao-12h45,7420,,,24287,117.810755,23913
bao-12h45,7460,,,24359,202.260457,23949
bao-12h45,7500,,,24471,275.242298,24005
bao-12h45,7540,,,24568,352.684386,24051
bao-12h45,7580,,,24614,423.176390,24077
bao-12h45,7620,,,24596,338.462073,24070
bao-12h45,7660,,,24216,82.051264,23890
bao-12h45,7700,,,23755,-108.095445,23657
bao-12h45,7740,,,23695,-259.034961,23622
bao-12h45,7780,,,23826,-291.809430,23685
bao-12h45,7820,,,23988,-160.451076,23769
bao-12h45,7860,,,24050,-106.091685,23797
bao-12h45,7900,,,24083,-106.412726,23815
bao-12h45,7940,,,24122,-57.910616,23833
bao-12h45,7980,,,24158,-2.782298,23852
bao-12h45,8020,,,24192,16.707926,23868
bao-12h45,8060,,,24288,2.227197,23916
bao-12h45,8100,,,24392,51.912641,23968
bao-12h45,8140,,,24525,163.010332,24033
bao-12h45,8180,,,24602,69.630492,24069
bao-12h45,8220,,,24224,-229.538708,23890
bao-12h45,8260,,,23873,-340.263620,23711
bao-12h45,8300,,,23940,-297.484731,23743
bao-12h45,8340,,,24031,-239.210008,23787
bao-12h45,8380,,,24184,-88.957514,23862
bao-12h45,8420,,,24347,-8.823836,23942
bao-12h45,8460,,,24427,-12.224639,23981
bao-12h45,8500,,,24482,35.375926,24006
bao-12h45,8540,,,24517,98.186359,24024
bao-12h45,8580,,,24620,147.361759,24072
bao-12h45,8620,,,24741,196.671862,24135
bao-12h45,8660,,,24811,235.173853,24171
bao-12h45,8700,,,24875,259.850506,24200
bao-12h45,8740,,,24851,159.465259,24195
bao-12h45,8780,,,24453,-81.591082,24001
bao-12h45,8820,,,24100,-203.519652,23825
bao-12h45,8860,,,24132,-219.848243,23841
bao-12h45,8900,,,24295,-195.837631,23919
bao-12h45,8940,,,24455,-73.703826,23998
bao-12h45,8980,,,24560,-29.633347,24048
bao-12h45,9020,,,24595,-67.748512,24064
bao-12h45,9060,,,24548,-36.371979,24045
bao-12h45,9100,,,24561,30.953802,24053
bao-12h45,9140,,,24620,115.640751,24079
