person_name,time_ms,ecg_raw,ecg_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,19,,,28362,28401.424234,24679
unknown,59,,,28396,28401.726678,24687
unknown,99,,,28426,28402.090515,24695
unknown,139,,,28427,28402.512662,24696
unknown,179,,,28404,28403.080568,24686
unknown,219,,,28391,28403.781031,24680
unknown,269,,,28400,28411.652495,24682
unknown,309,,,28410,28427.436316,24682
unknown,349,,,28443,28447.839363,24694
unknown,389,,,28482,28474.920823,24714
unknown,429,,,28518,28505.079873,24727
unknown,469,,,28557,28538.229903,24739
unknown,509,,,28598,28578.077864,24756
unknown,549,,,28616,28624.039767,24757
unknown,589,,,28645,28624.284064,24763
unknown,629,,,28670,28574.179280,24774
unknown,669,,,28466,28497.790004,24688
unknown,709,,,28279,28380.373940,24608
unknown,749,,,28286,28327.172532,24613
unknown,789,,,28359,28347.153154,24637
unknown,829,,,28378,28358.294178,24634
unknown,869,,,28385,28386.134241,24640
unknown,909,,,28416,28402.964708,24647
unknown,949,,,28389,28397.885137,24636
unknown,989,,,28372,28403.123781,24628
unknown,1029,,,28411,28409.177043,24639
unknown,1069,,,28464,28419.578511,24662
unknown,1109,,,28474,28437.817880,24668
unknown,1149,,,28458,28453.896187,24671
unknown,1189,,,28457,28469.329348,24674
unknown,1229,,,28433,28477.052006,24668
unknown,1269,,,28436,28474.554953,24680
unknown,1309,,,28457,28466.117114,24697
unknown,1349,,,28484,28448.834077,24722
unknown,1389,,,28486,28411.064452,24726
unknown,1429,,,28381,28351.039314,24695
unknown,1469,,,28214,28271.020334,24640
unknown,1509,,,28107,28166.829677,24600
unknown,1549,,,28070,28083.178973,24595
unknown,1589,,,28026,28022.841260,24578
unknown,1629,,,27970,27960.141950,24559
unknown,1669,,,27908,27906.379833,24531
unknown,1709,,,27851,27835.261989,24513
unknown,1749,,,27760,27743.445914,24482
unknown,1789,,,27675,27653.016538,24454
unknown,1829,,,27556,27557.479145,24413
unknown,1869,,,27459,27429.801197,24373
unknown,1909,,,27304,27269.542312,24323
unknown,1949,,,27008,27084.408858,24220
unknown,1989,,,26798,26867.055151,24151
unknown,2029,,,26675,26701.955104,24109
unknown,2069,,,26630,26595.757451,24092
unknown,2109,,,26508,26448.801804,24036
unknown,2149,,,26329,26277.998882,23961
unknown,2189,,,26129,26064.437287,23883
unknown,2229,,,25805,25788.142820,23755
unknown,2269,,,25538,25609.557918,23639
unknown,2309,,,25466,25529.274010,23606
unknown,2349,,,25464,25500.299155,23608
unknown,2389,,,25548,25562.256777,23649
unknown,2429,,,25591,25581.798726,23669
unknown,2469,,,25584,25554.632727,23673
unknown,2509,,,25547,25583.620897,23653
unknown,2549,,,25583,25641.290090,23663
unknown,2589,,,25677,25666.097502,23706
unknown,2629,,,25700,25664.719195,23720
unknown,2669,,,25751,25701.977684,23744
unknown,2709,,,25831,25769.811809,23785
unknown,2749,,,25825,25831.760642,23788
unknown,2789,,,25883,25897.978737,23805
unknown,2829,,,25948,25941.212696,23835
unknown,2869,,,25973,25953.842074,23849
unknown,2909,,,25979,25953.557224,23853
unknown,2949,,,25943,25930.648963,23842
unknown,2989,,,25810,25831.491841,23788
unknown,3029,,,25601,25649.644411,23701
unknown,3069,,,25486,25571.719635,23659
unknown,3109,,,25559,25597.750907,23694
unknown,3149,,,25631,25610.672832,23726
unknown,3189,,,25688,25650.547307,23748
unknown,3229,,,25745,25690.348996,23776
unknown,3269,,,25749,25717.281894,23784
unknown,3309,,,25769,25769.004440,23793
unknown,3349,,,25809,25836.350773,23805
unknown,3389,,,25874,25890.821671,23829
unknown,3429,,,25966,25934.239515,23871
unknown,3469,,,25948,25987.322402,23869
unknown,3509,,,25969,26044.819867,23879
unknown,3549,,,26055,26093.411903,23911
unknown,3589,,,26155,26134.633084,23951
unknown,3629,,,26235,26182.857900,23982
unknown,3669,,,26299,26236.460236,24016
unknown,3709,,,26342,26287.619789,24037
unknown,3749,,,26394,26338.710197,24049
unknown,3789,,,26298,26266.552853,24012
unknown,3829,,,26023,26057.552327,23917
unknown,3869,,,25924,25991.346730,23880
unknown,3909,,,25993,26054.494296,23910
unknown,3949,,,26058,26085.617005,23937
unknown,3989,,,26129,26138.316633,23962
unknown,4029,,,26200,26182.409877,23996
unknown,4069,,,26209,26199.437934,23995
unknown,4109,,,26213,26241.322884,24001
unknown,4149,,,26248,26296.873645,24018
unknown,4189,,,26327,26332.032730,24052
unknown,4229,,,26401,26350.639169,24085
unknown,4269,,,26442,26395.434873,24093
unknown,4309,,,26487,26462.932922,24111
unknown,4349,,,26554,26530.659774,24149
unknown,4389,,,26625,26606.489253,24184
unknown,4429,,,26656,26658.153241,24192
unknown,4469,,,26661,26680.351513,24184
unknown,4509,,,26715,26693.336575,24206
unknown,4549,,,26750,26687.473547,24227
unknown,4589,,,26549,26598.695666,24152
unknown,4629,,,26330,26420.355141,24067
unknown,4669,,,26311,26350.002415,24069
unknown,4709,,,26364,26385.751178,24092
unknown,4749,,,26388,26402.091204,24087
unknown,4789,,,26471,26440.181325,24107
unknown,4829,,,26562,26488.105856,24153
unknown,4869,,,26580,26532.790600,24165
unknown,4909,,,26586,26594.592954,24167
unknown,4949,,,26644,26666.699845,24189
unknown,4989,,,26711,26730.707813,24215
unknown,5029,,,26774,26785.950472,24242
unknown,5069,,,26819,26841.016858,24261
unknown,5109,,,26849,26890.931086,24271
unknown,5149,,,26891,26927.233667,24288
unknown,5189,,,26949,26948.596535,24317
unknown,5229,,,26993,26969.160638,24341
unknown,5269,,,27032,26987.020316,24354
unknown,5309,,,27062,26943.569684,24365
unknown,5349,,,26933,26835.598264,24322
unknown,5389,,,26650,26694.314501,24205
unknown,5429,,,26506,26574.929374,24138
unknown,5469,,,26576,26580.165859,24168
unknown,5509,,,26642,26681.742707,24202
unknown,5549,,,26676,26729.179867,24208
unknown,5589,,,26726,26722.236166,24222
unknown,5629,,,26739,26739.312999,24232
unknown,5669,,,26698,26744.796766,24206
unknown,5709,,,26744,26774.160008,24218
unknown,5749,,,26846,26832.741312,24265
unknown,5789,,,26896,26878.509576,24277
unknown,5829,,,26954,26918.503420,24299
unknown,5869,,,27021,26968.990856,24336
unknown,5909,,,27046,27024.106687,24342
unknown,5949,,,27085,27079.368526,24357
unknown,5989,,,27120,27135.860665,24377
unknown,6029,,,27156,27170.481988,24393
unknown,6069,,,27196,27179.944905,24413
unknown,6109,,,27140,27076.768827,24393
unknown,6149,,,26878,26843.638803,24297
unknown,6189,,,26650,26715.705991,24215
unknown,6229,,,26604,26682.589431,24205
unknown,6269,,,26634,26669.417381,24212
unknown,6309,,,26683,26727.781353,24237
unknown,6349,,,26761,26741.331837,24270
unknown,6389,,,26770,26706.020470,24275
unknown,6429,,,26738,26722.598647,24252
unknown,6469,,,26765,26768.837729,24263
unknown,6509,,,26825,26807.786203,24294
unknown,6549,,,26875,26851.061131,24318
unknown,6599,,,26907,26903.979238,24327
unknown,6639,,,26939,26962.317259,24346
unknown,6679,,,26975,27008.585836,24363
unknown,6719,,,27018,27040.603076,24381
unknown,6759,,,27047,27064.645685,24390
unknown,6799,,,27060,27075.011174,24394
unknown,6839,,,27093,27064.376322,24401
unknown,6879,,,27110,27030.396748,24406
unknown,6919,,,26945,26909.078198,24343
unknown,6959,,,26684,26690.178367,24250
unknown,6999,,,26549,26591.638274,24198
unknown,7039,,,26574,26611.976092,24207
unknown,7079,,,26643,26628.225209,24233
unknown,7119,,,26720,26687.595974,24265
unknown,7159,,,26736,26721.197052,24266
unknown,7199,,,26695,26714.273724,24251
unknown,7239,,,26694,26735.310512,24255
unknown,7279,,,26728,26765.772967,24265
unknown,7319,,,26767,26791.024739,24277
unknown,7359,,,26809,26817.535794,24292
unknown,7399,,,26832,26837.873657,24296
unknown,7439,,,26867,26850.001799,24310
unknown,7479,,,26910,26873.902386,24332
unknown,7519,,,26952,26908.681771,24347
unknown,7559,,,26992,26942.843788,24367
unknown,7599,,,27020,26980.211463,24380
unknown,7639,,,26953,26902.340200,24360
unknown,7679,,,26682,26695.950230,24257
unknown,7719,,,26495,26591.567195,24194
unknown,7759,,,26506,26572.269813,24198
unknown,7799,,,26554,26568.363603,24212
unknown,7839,,,26616,26627.129890,24237
unknown,7879,,,26666,26645.805082,24260
unknown,7919,,,26656,26620.433575,24260
unknown,7959,,,26589,26622.064241,24240
unknown,7999,,,26589,26629.079798,24236
unknown,8039,,,26632,26642.237244,24248
unknown,8079,,,26680,26669.049429,24261
unknown,8119,,,26750,26701.691982,24288
unknown,8159,,,26804,26742.862474,24314
unknown,8199,,,26820,26801.006409,24316
unknown,8239,,,26848,26876.680624,24325
unknown,8279,,,26907,26926.349765,24348
unknown,8319,,,26957,26948.345295,24370
unknown,8359,,,26940,26862.839795,24359
unknown,8399,,,26699,26648.468586,24277
unknown,8439,,,26423,26506.552421,24173
unknown,8479,,,26396,26486.978179,24157
unknown,8519,,,26443,26466.586924,24171
unknown,8559,,,26482,26516.688948,24188
unknown,8599,,,26528,26528.783253,24207
unknown,8639,,,26554,26500.092005,24220
unknown,8679,,,26546,26506.390263,24213
unknown,8719,,,26534,26526.713581,24210
unknown,8759,,,26566,26558.003890,24224
unknown,8799,,,26617,26609.134665,24243
unknown,8839,,,26665,26667.752822,24257
unknown,8879,,,26722,26735.824801,24276
unknown,8919,,,26774,26790.728679,24300
unknown,8959,,,26789,26828.197708,24300
unknown,8999,,,26830,26859.559903,24313
unknown,9039,,,26890,26877.287488,24336
unknown,9079,,,26932,26850.872720,24361
unknown,9119,,,26860,26775.865958,24334
unknown,9159,,,26573,26625.538459,24228
unknown,9199,,,26366,26448.173459,24149
unknown,9239,,,26376,26366.178397,24155
unknown,9279,,,26413,26380.776565,24169
unknown,9319,,,26427,26411.579470,24171
unknown,9359,,,26499,26487.595428,24198
unknown,9399,,,26543,26542.229833,24214
unknown,9439,,,26549,26562.660777,24217
unknown,9479,,,26581,26613.208252,24229
unknown,9519,,,26632,26675.818972,24251
unknown,9559,,,26691,26723.881211,24271
unknown,9599,,,26764,26761.826494,24303
unknown,9639,,,26791,26788.144704,24315
unknown,9679,,,26814,26796.906539,24321
unknown,9719,,,26863,26825.817706,24335
unknown,9759,,,26909,26875.157540,24357
unknown,9799,,,26954,26920.145168,24374
unknown,9839,,,26993,26968.701754,24387
unknown,9879,,,27002,26938.183634,24391
unknown,9919,,,26827,26817.657854,24329
unknown,9959,,,26575,26672.983635,24239
unknown,9999,,,26518,26529.279037,24207
