person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,30,,,29297,29293.419073,25564
unknown,70,,,29314,29280.972580,25549
unknown,110,,,29019,29090.393589,25343
unknown,150,,,29088,29158.913992,25363
unknown,190,,,29365,29360.069100,25543
unknown,230,,,29362,29318.430807,25528
unknown,270,,,29367,29375.589803,25514
unknown,310,,,29432,29456.619718,25538
unknown,350,,,29545,29568.815425,25594
unknown,390,,,29736,29748.821699,25710
unknown,430,,,29936,29911.951360,25840
unknown,470,,,30133,30068.988464,25992
unknown,510,,,30028,30000.947481,25932
unknown,550,,,29703,29669.349379,25764
unknown,590,,,29530,29523.037126,25653
unknown,630,,,29489,29525.284004,25623
unknown,670,,,29452,29482.954123,25588
unknown,710,,,29452,29479.457349,25586
unknown,750,,,29467,29491.342095,25585
unknown,790,,,29496,29507.856329,25599
unknown,830,,,29585,29538.178149,25670
unknown,870,,,29592,29574.373202,25689
unknown,910,,,29528,29524.718634,25650
unknown,950,,,29388,29377.330073,25560
unknown,990,,,29256,29301.432294,25469
unknown,1030,,,29244,29281.550968,25456
unknown,1070,,,29266,29239.035382,25464
unknown,1110,,,29234,29203.925090,25438
unknown,1150,,,29172,29153.311753,25402
unknown,1190,,,29098,29079.178064,25375
unknown,1230,,,29026,29021.796462,25346
unknown,1270,,,28953,28975.690353,25311
unknown,1310,,,28916,28940.820830,25295
unknown,1350,,,28907,28924.997509,25293
unknown,1390,,,28946,28927.288438,25319
unknown,1430,,,28968,28951.788925,25332
unknown,1470,,,28963,28957.253120,25335
unknown,1510,,,28915,28941.868826,25310
unknown,1550,,,28908,28948.010176,25310
unknown,1590,,,28962,28967.614460,25341
unknown,1630,,,28981,28973.784034,25350
unknown,1670,,,28966,28970.964413,25335
unknown,1710,,,28975,28976.962713,25335
unknown,1750,,,29019,28988.225265,25351
unknown,1790,,,29015,28938.710003,25346
unknown,1830,,,28876,28824.795926,25281
unknown,1870,,,28726,28746.288125,25212
unknown,1910,,,28664,28692.690694,25184
unknown,1950,,,28648,28666.803758,25172
unknown,1990,,,28652,28690.781637,25177
unknown,2030,,,28685,28703.539226,25188
unknown,2070,,,28721,28711.727566,25205
unknown,2110,,,28736,28740.683537,25209
unknown,2150,,,28764,28780.678756,25219
unknown,2190,,,28811,28819.658762,25239
unknown,2230,,,28853,28858.253261,25258
unknown,2270,,,28893,28895.805012,25278
unknown,2310,,,28923,28928.773883,25290
unknown,2350,,,28965,28959.876965,25302
unknown,2390,,,29019,28987.219334,25322
unknown,2430,,,29059,28993.104117,25343
unknown,2470,,,29037,28975.228950,25333
unknown,2510,,,28915,28940.225193,25285
unknown,2550,,,28848,28882.407001,25263
unknown,2590,,,28853,28866.202116,25273
unknown,2640,,,28870,28896.755105,25284
unknown,2680,,,28869,28900.405337,25285
unknown,2720,,,28883,28890.330531,25289
unknown,2760,,,28925,28910.772356,25305
unknown,2800,,,28945,28953.357860,25312
unknown,2840,,,28957,28979.998536,25318
unknown,2880,,,28984,28995.024889,25323
unknown,2920,,,29016,29015.367265,25339
unknown,2960,,,29047,29034.160210,25349
unknown,3000,,,29067,29052.551131,25357
unknown,3040,,,29094,29071.694688,25370
unknown,3080,,,29129,29086.413282,25384
unknown,3120,,,29147,29096.838821,25385
unknown,3160,,,29069,29063.301974,25348
unknown,3200,,,28949,28980.394329,25299
unknown,3240,,,28920,28946.267334,25288
unknown,3280,,,28926,28956.808747,25293
unknown,3320,,,28926,28950.737836,25297
unknown,3360,,,28940,28946.707341,25304
unknown,3400,,,28973,28961.391856,25325
unknown,3440,,,28983,28989.753158,25332
unknown,3480,,,28988,29008.512804,25329
unknown,3520,,,29005,29017.940423,25340
unknown,3560,,,29030,29028.998752,25348
unknown,3600,,,29051,29036.203137,25351
unknown,3640,,,29080,29055.014281,25362
unknown,3680,,,29123,29086.985532,25379
unknown,3720,,,29141,29120.226848,25387
unknown,3760,,,29152,29158.488368,25387
unknown,3800,,,29179,29160.584171,25400
unknown,3840,,,29152,29121.147257,25390
unknown,3880,,,29023,29062.324529,25341
unknown,3920,,,28937,28971.944783,25304
unknown,3960,,,28909,28928.178957,25295
unknown,4000,,,28927,28938.102201,25307
unknown,4040,,,28953,28953.407043,25320
unknown,4080,,,28976,28994.541790,25325
unknown,4120,,,28986,29008.795696,25326
unknown,4160,,,28994,28989.169347,25322
unknown,4200,,,28993,28978.153304,25318
unknown,4240,,,28995,28962.272036,25319
unknown,4280,,,28985,28962.990412,25305
unknown,4320,,,28991,28986.438935,25304
unknown,4360,,,29021,29011.878787,25316
unknown,4400,,,29046,29046.077793,25322
unknown,4440,,,29046,29058.424515,25325
unknown,4480,,,29047,29044.087869,25319
unknown,4520,,,29066,29014.864441,25322
unknown,4560,,,28985,28960.930751,25286
unknown,4600,,,28855,28906.725626,25237
unknown,4640,,,28804,28852.251424,25225
unknown,4680,,,28804,28835.012165,25222
unknown,4720,,,28834,28865.278502,25237
unknown,4760,,,28874,28872.098826,25257
unknown,4800,,,28893,28864.556491,25265
unknown,4840,,,28898,28882.682281,25265
unknown,4880,,,28917,28916.330981,25274
unknown,4920,,,28942,28936.101055,25285
unknown,4960,,,28964,28944.835902,25291
