person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_ac_bandpass_wavelet_db4_level3,ppg_red_raw
unknown,30,,,28247,59.054132,25245
unknown,70,,,28263,101.689949,25256
unknown,110,,,28290,85.330628,25272
unknown,150,,,28270,23.235382,25255
unknown,190,,,28099,-40.681331,25183
unknown,230,,,28021,-122.367364,25164
unknown,270,,,28025,-154.216030,25170
unknown,310,,,28055,-125.425789,25177
unknown,350,,,28087,-104.039774,25179
unknown,390,,,28120,-72.655299,25190
unknown,430,,,28129,-42.492824,25191
unknown,470,,,28123,-23.387210,25197
unknown,510,,,28147,8.176486,25210
unknown,550,,,28181,46.660090,25226
unknown,590,,,28212,82.478242,25244
unknown,630,,,28240,117.634777,25259
unknown,670,,,28281,151.759423,25266
unknown,710,,,28319,183.011215,25272
unknown,750,,,28354,206.272790,25273
unknown,790,,,28369,219.955674,25288
unknown,830,,,28363,148.748995,25288
unknown,870,,,28182,-17.526377,25227
unknown,910,,,28047,-95.988172,25182
unknown,950,,,28043,-94.833040,25177
unknown,990,,,28063,-94.992322,25181
unknown,1030,,,28071,-58.597927,25188
unknown,1070,,,28111,-41.643218,25192
unknown,1110,,,28128,-51.391595,25190
unknown,1150,,,28114,-50.108585,25194
unknown,1190,,,28108,-52.030066,25190
unknown,1230,,,28124,-37.759431,25201
unknown,1270,,,28155,-3.160062,25209
unknown,1310,,,28198,30.568570,25217
unknown,1350,,,28237,68.394085,25228
unknown,1390,,,28267,102.100882,25233
unknown,1430,,,28301,127.915357,25241
unknown,1470,,,28339,112.843958,25250
unknown,1510,,,28273,49.260499,25229
unknown,1550,,,28109,-36.687814,25171
unknown,1590,,,28051,-91.937495,25154
unknown,1630,,,28073,-97.513136,25160
unknown,1670,,,28114,-27.178856,25173
unknown,1710,,,28143,-3.620120,25181
unknown,1750,,,28165,-16.733943,25190
unknown,1790,,,28161,-8.559035,25192
unknown,1830,,,28160,-0.602594,25189
unknown,1870,,,28178,16.093722,25193
unknown,1910,,,28199,46.922270,25198
unknown,1950,,,28232,73.925175,25212
unknown,1990,,,28265,99.855037,25226
unknown,2030,,,28296,129.794491,25237
unknown,2070,,,28329,161.043237,25249
unknown,2110,,,28344,124.810488,25254
unknown,2150,,,28218,14.028932,25219
unknown,2190,,,28063,-61.264392,25166
unknown,2230,,,28021,-98.355406,25161
unknown,2270,,,28038,-103.962750,25173
unknown,2310,,,28065,-48.173248,25179
unknown,2350,,,28082,-32.159646,25191
unknown,2390,,,28090,-51.036648,25205
unknown,2430,,,28085,-41.963400,25211
unknown,2470,,,28092,-22.712123,25216
unknown,2510,,,28110,-1.595912,25223
unknown,2550,,,28140,28.259848,25236
unknown,2590,,,28179,60.293918,25252
unknown,2630,,,28203,94.600457,25265
unknown,2670,,,28234,124.333525,25276
unknown,2710,,,28270,147.316420,25285
unknown,2750,,,28261,95.508045,25282
unknown,2790,,,28087,-41.254185,25220
unknown,2830,,,27991,-94.147488,25186
unknown,2870,,,27990,-70.792416,25184
unknown,2910,,,28023,-56.653330,25189
unknown,2950,,,28044,-17.946399,25198
unknown,2990,,,28065,2.109224,25204
unknown,3030,,,28080,-6.010459,25210
unknown,3070,,,28076,2.990088,25205
unknown,3110,,,28083,17.762263,25208
unknown,3150,,,28105,36.322645,25217
unknown,3190,,,28138,64.272552,25229
unknown,3230,,,28169,94.180000,25239
unknown,3270,,,28197,127.395766,25251
unknown,3310,,,28217,138.442471,25261
unknown,3350,,,28243,123.639325,25270
unknown,3390,,,28156,57.636760,25235
unknown,3430,,,27997,-71.364036,25176
unknown,3470,,,27945,-124.230352,25161
unknown,3510,,,27964,-100.656142,25164
unknown,3550,,,27993,-83.371449,25169
unknown,3590,,,28009,-42.200516,25171
unknown,3630,,,28026,-18.331755,25177
unknown,3670,,,28027,-22.005696,25178
unknown,3710,,,28036,-11.124596,25178
unknown,3750,,,28058,2.629258,25180
unknown,3790,,,28093,25.301588,25193
unknown,3830,,,28127,62.199158,25207
unknown,3870,,,28160,101.082054,25220
unknown,3910,,,28195,144.876886,25232
unknown,3950,,,28225,148.221842,25241
unknown,3990,,,28239,104.924839,25245
unknown,4030,,,28085,32.386073,25192
unknown,4070,,,27960,-79.439581,25145
unknown,4120,,,27943,-131.679534,25135
unknown,4160,,,27967,-115.285734,25144
unknown,4200,,,27986,-96.125825,25155
unknown,4240,,,28010,-48.524298,25166
unknown,4280,,,28027,-21.286015,25174
unknown,4320,,,28030,-22.866116,25174
unknown,4360,,,28044,-8.964727,25181
unknown,4400,,,28072,7.635578,25184
unknown,4440,,,28104,33.478087,25199
unknown,4480,,,28136,73.993595,25208
unknown,4520,,,28174,116.189733,25219
unknown,4560,,,28206,163.075472,25227
unknown,4600,,,28236,176.639579,25238
unknown,4640,,,28259,151.288017,25242
unknown,4680,,,28110,84.411442,25189
unknown,4720,,,27971,-37.981882,25132
unknown,4760,,,27954,-87.752194,25120
unknown,4800,,,27988,-60.679689,25126
unknown,4840,,,28014,-40.919503,25146
unknown,4880,,,28038,0.602594,25154
unknown,4920,,,28053,23.375084,25169
unknown,4960,,,28048,16.378829,25174
