person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
bao-12h45,9,,24565,26090
bao-12h45,49,,24506,25961
bao-12h45,89,,24339,25600
bao-12h45,129,,24275,25463
bao-12h45,169,,24292,25495
bao-12h45,209,,24334,25593
bao-12h45,249,,24397,25719
bao-12h45,289,,24428,25783
bao-12h45,329,,24429,25799
bao-12h45,369,,24441,25827
bao-12h45,409,,24451,25845
bao-12h45,449,,24465,25875
bao-12h45,489,,24476,25898
bao-12h45,529,,24494,25936
bao-12h45,569,,24510,25958
bao-12h45,619,,24382,25682
bao-12h45,659,,24236,25360
bao-12h45,699,,24199,25289
bao-12h45,739,,24234,25369
bao-12h45,779,,24303,25515
bao-12h45,819,,24356,25629
bao-12h45,859,,24378,25679
bao-12h45,899,,24381,25698
bao-12h45,939,,24395,25732
bao-12h45,979,,24420,25780
bao-12h45,1019,,24453,25855
bao-12h45,1059,,24495,25943
bao-12h45,1099,,24519,26004
bao-12h45,1139,,24472,25912
bao-12h45,1179,,24315,25568
bao-12h45,1219,,24240,25421
bao-12h45,1259,,24254,25452
bao-12h45,1299,,24304,25561
bao-12h45,1339,,24374,25697
bao-12h45,1379,,24392,25735
bao-12h45,1419,,24399,25735
bao-12h45,1459,,24397,25728
bao-12h45,1499,,24391,25718
bao-12h45,1539,,24404,25734
bao-12h45,1579,,24421,25773
bao-12h45,1619,,24434,25803
bao-12h45,1659,,24438,25801
bao-12h45,1699,,24296,25486
bao-12h45,1739,,24102,25081
bao-12h45,1779,,24030,24919
bao-12h45,1819,,24042,24954
bao-12h45,1859,,24103,25089
bao-12h45,1899,,24175,25248
bao-12h45,1939,,24182,25269
bao-12h45,1979,,24190,25284
bao-12h45,2019,,24221,25356
bao-12h45,2059,,24253,25428
bao-12h45,2099,,24271,25461
bao-12h45,2139,,24304,25537
bao-12h45,2179,,24358,25656
bao-12h45,2219,,24283,25489
bao-12h45,2259,,24100,25095
bao-12h45,2299,,23985,24852
bao-12h45,2339,,23976,24837
bao-12h45,2379,,24031,24954
bao-12h45,2419,,24093,25084
bao-12h45,2459,,24105,25108
bao-12h45,2499,,24102,25102
bao-12h45,2539,,24102,25105
bao-12h45,2579,,24112,25130
bao-12h45,2619,,24132,25172
bao-12h45,2659,,24157,25219
bao-12h45,2699,,24183,25278
bao-12h45,2739,,24125,25149
bao-12h45,2779,,23922,24713
bao-12h45,2819,,23794,24440
bao-12h45,2859,,23797,24450
bao-12h45,2899,,23865,24597
bao-12h45,2939,,23950,24780
bao-12h45,2979,,23970,24814
bao-12h45,3019,,23995,24860
bao-12h45,3059,,24043,24968
bao-12h45,3099,,24096,25088
bao-12h45,3139,,24139,25167
bao-12h45,3179,,24166,25223
bao-12h45,3219,,24184,25261
bao-12h45,3259,,24163,25216
bao-12h45,3299,,23979,24813
bao-12h45,3339,,23841,24517
bao-12h45,3379,,23823,24487
bao-12h45,3419,,23871,24583
bao-12h45,3459,,23950,24755
bao-12h45,3499,,24012,24880
bao-12h45,3539,,24058,24987
bao-12h45,3579,,24071,25006
bao-12h45,3619,,24060,24979
bao-12h45,3659,,24093,25045
bao-12h45,3699,,24143,25160
bao-12h45,3739,,24173,25217
bao-12h45,3779,,24194,25255
bao-12h45,3819,,24100,25052
bao-12h45,3859,,23883,24585
bao-12h45,3899,,23789,24397
bao-12h45,3939,,23793,24400
bao-12h45,3979,,23858,24541
bao-12h45,4019,,23943,24717
bao-12h45,4059,,23983,24801
bao-12h45,4099,,23989,24811
bao-12h45,4139,,23997,24825
bao-12h45,4179,,24008,24853
bao-12h45,4219,,24053,24944
bao-12h45,4259,,24108,25061
bao-12h45,4299,,24145,25141
bao-12h45,4339,,24177,25213
bao-12h45,4379,,24088,25004
bao-12h45,4419,,23890,24590
bao-12h45,4459,,23880,24578
bao-12h45,4499,,23927,24663
bao-12h45,4539,,23982,24790
bao-12h45,4579,,24074,24987
bao-12h45,4619,,24076,24987
bao-12h45,4659,,24125,25104
bao-12h45,4699,,24128,25096
bao-12h45,4739,,24110,25057
bao-12h45,4779,,24179,25207
bao-12h45,4819,,24201,25253
bao-12h45,4859,,24243,25338
bao-12h45,4899,,24271,25401
bao-12h45,4939,,24131,25093
bao-12h45,4979,,23937,24668
bao-12h45,5019,,23840,24464
bao-12h45,5059,,23879,24556
bao-12h45,5099,,24033,24889
bao-12h45,5139,,24109,25045
bao-12h45,5179,,24099,25022
bao-12h45,5219,,24103,25032
bao-12h45,5259,,24097,25010
bao-12h45,5299,,24108,25035
bao-12h45,5339,,24148,25134
bao-12h45,5379,,24196,25225
bao-12h45,5419,,24212,25260
bao-12h45,5459,,24181,25188
bao-12h45,5499,,23968,24720
bao-12h45,5539,,23767,24308
bao-12h45,5579,,23740,24254
bao-12h45,5619,,23772,24316
bao-12h45,5659,,23869,24515
bao-12h45,5699,,23909,24597
bao-12h45,5739,,23877,24528
bao-12h45,5779,,23853,24473
bao-12h45,5819,,23880,24520
bao-12h45,5869,,23910,24587
bao-12h45,5909,,23976,24726
bao-12h45,5949,,24056,24900
bao-12h45,5989,,24130,25062
bao-12h45,6029,,24054,24885
bao-12h45,6069,,23833,24417
bao-12h45,6109,,23748,24249
bao-12h45,6149,,23743,24231
bao-12h45,6189,,23791,24332
bao-12h45,6229,,23882,24530
bao-12h45,6269,,23976,24738
bao-12h45,6309,,24018,24821
bao-12h45,6349,,24006,24796
bao-12h45,6389,,24010,24803
bao-12h45,6429,,24031,24856
bao-12h45,6469,,24089,24983
bao-12h45,6509,,24111,25045
bao-12h45,6549,,24113,25037
bao-12h45,6589,,23985,24751
bao-12h45,6629,,23766,24294
bao-12h45,6669,,23713,24173
bao-12h45,6709,,23760,24267
bao-12h45,6749,,23830,24414
bao-12h45,6789,,23883,24512
bao-12h45,6829,,23879,24496
bao-12h45,6869,,23826,24380
bao-12h45,6909,,23799,24337
bao-12h45,6949,,23830,24388
bao-12h45,6989,,23860,24446
bao-12h45,7029,,23919,24588
bao-12h45,7069,,23983,24714
bao-12h45,7109,,23996,24733
bao-12h45,7149,,23846,24412
bao-12h45,7189,,23586,23874
bao-12h45,7229,,23491,23678
bao-12h45,7269,,23481,23653
bao-12h45,7309,,23530,23756
bao-12h45,7349,,23625,23953
bao-12h45,7389,,23665,24035
bao-12h45,7429,,23705,24114
bao-12h45,7469,,23734,24171
bao-12h45,7509,,23753,24214
bao-12h45,7549,,23814,24344
bao-12h45,7589,,23874,24470
bao-12h45,7629,,23917,24555
bao-12h45,7669,,23922,24567
bao-12h45,7709,,23806,24315
bao-12h45,7749,,23587,23858
bao-12h45,7789,,23529,23743
bao-12h45,7829,,23578,23832
bao-12h45,7869,,23669,24017
bao-12h45,7909,,23737,24159
bao-12h45,7949,,23780,24244
bao-12h45,7989,,23799,24284
bao-12h45,8029,,23823,24334
bao-12h45,8069,,23879,24457
bao-12h45,8109,,23951,24616
bao-12h45,8149,,24039,24798
bao-12h45,8189,,24095,24906
bao-12h45,8229,,24133,24996
bao-12h45,8269,,24027,24764
bao-12h45,8309,,23791,24258
bao-12h45,8349,,23694,24062
bao-12h45,8389,,23746,24170
bao-12h45,8429,,23844,24382
bao-12h45,8469,,23933,24559
bao-12h45,8509,,23963,24620
bao-12h45,8549,,23973,24636
bao-12h45,8589,,23973,24641
bao-12h45,8629,,23985,24658
bao-12h45,8669,,24026,24745
bao-12h45,8709,,24073,24840
bao-12h45,8749,,24073,24846
bao-12h45,8789,,24058,24797
bao-12h45,8829,,23842,24341
bao-12h45,8869,,23597,23838
bao-12h45,8909,,23585,23814
bao-12h45,8949,,23682,24018
bao-12h45,8989,,23813,24298
bao-12h45,9029,,23885,24443
bao-12h45,9069,,23875,24414
bao-12h45,9109,,23864,24398
bao-12h45,9149,,23894,24467
bao-12h45,9189,,23930,24546
bao-12h45,9229,,24004,24702
bao-12h45,9269,,24052,24797
bao-12h45,9309,,24050,24791
bao-12h45,9349,,23957,24579
bao-12h45,9389,,23697,24041
bao-12h45,9429,,23562,23764
bao-12h45,9469,,23538,23716
bao-12h45,9509,,23607,23861
bao-12h45,9549,,23707,24071
bao-12h45,9589,,23778,24218
bao-12h45,9629,,23824,24313
bao-12h45,9669,,23849,24369
bao-12h45,9709,,23855,24375
bao-12h45,9749,,23872,24419
bao-12h45,9789,,23925,24527
bao-12h45,9829,,23964,24607
bao-12h45,9869,,23993,24663
bao-12h45,9909,,23911,24482
bao-12h45,9949,,23687,24022
bao-12h45,9989,,23619,23888
