person_name,time_us,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,0,0.000,1625,24013,27387
unknown,500,0.500,1908,24019,27580
unknown,2500,2.500,1731,24018,27391
unknown,5000,5.000,1964,24017,27399
unknown,7500,7.500,1953,24017,27400
unknown,10000,10.000,1884,24025,27409
unknown,12500,12.500,1886,24023,27415
unknown,15000,15.000,1915,24021,27414
unknown,17500,17.500,1738,24021,27408
unknown,20000,20.000,1644,24033,27422
unknown,22500,22.500,1763,24028,27428
unknown,25000,25.000,2001,24027,27437
unknown,27500,27.500,1987,24030,27433
unknown,30000,30.000,1921,24044,27440
unknown,32500,32.500,1922,24032,27446
unknown,35000,35.000,1945,24036,27454
unknown,37500,37.500,1763,24035,27460
unknown,40000,40.000,1664,24048,27461
unknown,42500,42.500,1782,24031,27467
unknown,45000,45.000,2018,24037,27472
unknown,47500,47.500,2003,24036,27466
unknown,50000,50.000,1941,24049,27480
unknown,52500,52.500,1946,24040,27480
unknown,55000,55.000,1969,24041,27489
unknown,57500,57.500,1780,23996,27339
unknown,60000,60.000,1675,24053,27492
unknown,62500,62.500,1787,24047,27497
unknown,65000,65.000,2018,24040,27499
unknown,67500,67.500,1999,24047,27492
unknown,70000,70.000,1935,24059,27507
unknown,72500,72.500,1936,24042,27507
unknown,75000,75.000,1955,24046,27505
unknown,77500,77.500,1767,24042,27507
unknown,80000,80.000,1667,24061,27506
unknown,82500,82.500,1781,24048,27509
unknown,85000,85.000,2005,24045,27507
unknown,87500,87.500,1980,24045,27500
unknown,90000,90.000,1905,24061,27504
unknown,92500,92.500,1903,24044,27499
unknown,95000,95.000,1913,24043,27504
unknown,97500,97.500,1719,24048,27490
unknown,100000,100.000,1620,24052,27497
unknown,102500,102.500,1738,24038,27486
unknown,105000,105.000,1962,24039,27476
unknown,107500,107.500,1929,24042,27454
unknown,110000,110.000,1856,24039,27450
unknown,112500,112.500,1850,24024,27436
unknown,115000,115.000,1861,24017,27420
unknown,117500,117.500,1666,24014,27401
unknown,120000,120.000,1570,24008,27385
unknown,122500,122.500,1692,24000,27373
unknown,125000,125.000,1914,23999,27357
unknown,127500,127.500,1879,24036,27466
unknown,130000,130.000,1809,23985,27327
unknown,132500,132.500,1810,23978,27312
unknown,135000,135.000,1827,23977,27300
unknown,137500,137.500,1641,23971,27275
unknown,140000,140.000,1535,23969,27268
unknown,142500,142.500,1684,23959,27252
unknown,145000,145.000,1913,23954,27247
unknown,147500,147.500,1885,23945,27231
unknown,150000,150.000,1819,23947,27226
unknown,152500,152.500,1825,23942,27208
unknown,155000,155.000,1840,23948,27194
unknown,157500,157.500,1655,23936,27182
unknown,160000,160.000,1574,23937,27182
unknown,162500,162.500,1711,23931,27171
unknown,165000,165.000,1942,23932,27162
unknown,167500,167.500,1917,23924,27150
unknown,170000,170.000,1857,23921,27144
unknown,172500,172.500,1869,23923,27139
unknown,175000,175.000,1885,23920,27133
unknown,177500,177.500,1702,23914,27119
unknown,180000,180.000,1616,23913,27118
unknown,182500,182.500,1748,23916,27107
unknown,185000,185.000,1966,23912,27103
unknown,187500,187.500,1932,24042,27454
unknown,190000,190.000,1871,23909,27091
unknown,192500,192.500,1873,23906,27091
unknown,195000,195.000,1876,23907,27082
unknown,197500,197.500,1681,23896,27075
unknown,200000,200.000,1598,23906,27072
unknown,202500,202.500,1738,23907,27074
unknown,205000,205.000,1967,23902,27073
unknown,207500,207.500,1932,23895,27062
unknown,210000,210.000,1861,23901,27067
unknown,212500,212.500,1866,23904,27059
unknown,215000,215.000,1870,23899,27057
unknown,217500,217.500,1675,23891,27055
unknown,220000,220.000,1596,23898,27056
unknown,222500,222.500,1737,23900,27057
unknown,225000,225.000,1957,23895,27053
unknown,227500,227.500,1925,23886,27047
unknown,230000,230.000,1868,23904,27058
unknown,232500,232.500,1877,23902,27054
unknown,235000,235.000,1884,23899,27059
unknown,237500,237.500,1696,23890,27051
unknown,240000,240.000,1616,23894,27061
unknown,242500,242.500,1759,23898,27055
unknown,245000,245.000,1976,23901,27055
unknown,247500,247.500,1940,23893,27058
unknown,250000,250.000,1880,23902,27072
unknown,252500,252.500,1893,23899,27070
unknown,255000,255.000,1894,23899,27069
unknown,257500,257.500,1701,23914,27119
unknown,260000,260.000,1615,23899,27077
unknown,262500,262.500,1755,23905,27083
unknown,265000,265.000,1969,23904,27085
unknown,267500,267.500,1936,23902,27092
unknown,270000,270.000,1881,23907,27090
unknown,272500,272.500,1899,23904,27093
unknown,275000,275.000,1901,23904,27099
unknown,277500,277.500,1707,23904,27105
unknown,280000,280.000,1621,23907,27105
unknown,282500,282.500,1761,23909,27110
unknown,285000,285.000,1967,23914,27119
unknown,287500,287.500,1921,23909,27117
unknown,290000,290.000,1856,23910,27126
unknown,292500,292.500,1872,23913,27124
unknown,295000,295.000,1871,23910,27134
unknown,297500,297.500,1679,23916,27131
unknown,300000,300.000,1602,23918,27137
unknown,302500,302.500,1748,23920,27144
unknown,305000,305.000,1957,23916,27140
unknown,307500,307.500,1917,23915,27140
unknown,310000,310.000,1856,23922,27150
unknown,312500,312.500,1870,23918,27151
unknown,315000,315.000,1866,23920,27154
unknown,317500,317.500,1670,23917,27155
unknown,320000,320.000,1597,23923,27157
unknown,322500,322.500,1748,23924,27162
unknown,325000,325.000,1959,23924,27168
unknown,327500,327.500,1916,23911,27174
unknown,330000,330.000,1858,23928,27171
unknown,332500,332.500,1872,23925,27164
unknown,335000,335.000,1862,23922,27171
unknown,337500,337.500,1666,23922,27190
unknown,340000,340.000,1592,23925,27176
unknown,342500,342.500,1747,23930,27175
unknown,345000,345.000,1958,23930,27178
unknown,347500,347.500,1919,23920,27203
unknown,350000,350.000,1860,23932,27184
unknown,352500,352.500,1876,23930,27186
unknown,355000,355.000,1868,23933,27183
unknown,357500,357.500,1678,23917,27195
unknown,360000,360.000,1610,23929,27182
unknown,362500,362.500,1770,23931,27189
unknown,365000,365.000,1979,23929,27192
unknown,367500,367.500,1937,23928,27197
unknown,370000,370.000,1883,23932,27185
unknown,372500,372.500,1901,23926,27183
unknown,375000,375.000,1886,23926,27185
unknown,377500,377.500,1693,23930,27196
unknown,380000,380.000,1632,23925,27180
unknown,382500,382.500,1804,23928,27176
unknown,385000,385.000,2021,23923,27181
unknown,387500,387.500,1986,23917,27192
unknown,390000,390.000,1934,23925,27176
unknown,392500,392.500,1955,23916,27174
unknown,395000,395.000,1940,23923,27176
unknown,397500,397.500,1748,23923,27189
unknown,400000,400.000,1682,23929,27178
unknown,402500,402.500,1842,23923,27177
unknown,405000,405.000,2034,23929,27172
unknown,407500,407.500,1976,23910,27187
unknown,410000,410.000,1904,23922,27176
unknown,412500,412.500,1904,23921,27174
unknown,415000,415.000,1864,23920,27174
unknown,417500,417.500,1647,23913,27175
unknown,420000,420.000,1565,23922,27167
unknown,422500,422.500,1714,23919,27167
unknown,425000,425.000,1904,23918,27169
unknown,427500,427.500,1853,23915,27174
unknown,430000,430.000,1793,23919,27162
unknown,432500,432.500,1810,23925,27169
unknown,435000,435.000,1798,23921,27164
unknown,437500,437.500,1608,23915,27173
unknown,440000,440.000,1535,23915,27168
unknown,442500,442.500,1715,23920,27176
unknown,445000,445.000,1914,23924,27173
unknown,447500,447.500,1873,23924,27175
unknown,450000,450.000,1822,23921,27174
unknown,452500,452.500,1842,23919,27186
unknown,455000,455.000,1820,23922,27185
unknown,457500,457.500,1618,23912,27192
unknown,460000,460.000,1555,23926,27190
unknown,462500,462.500,1722,23929,27202
unknown,465000,465.000,1916,23928,27203
unknown,467500,467.500,1866,23927,27213
unknown,470000,470.000,1810,23931,27214
unknown,472500,472.500,1836,23934,27219
unknown,475000,475.000,1813,23932,27217
unknown,477500,477.500,1621,23924,27224
unknown,480000,480.000,1566,23939,27233
unknown,482500,482.500,1741,23939,27239
unknown,485000,485.000,1932,23939,27239
unknown,487500,487.500,1882,23937,27254
unknown,490000,490.000,1829,23944,27253
unknown,492500,492.500,1854,23941,27267
unknown,495000,495.000,1826,23939,27261
unknown,497500,497.500,1630,23957,27274
unknown,500000,500.000,1565,23950,27285
unknown,502500,502.500,1723,23952,27285
unknown,505000,505.000,1900,23953,27279
unknown,507500,507.500,1853,23962,27299
unknown,510000,510.000,1819,23956,27305
unknown,512500,512.500,1875,23958,27312
unknown,515000,515.000,1900,23960,27305
unknown,517500,517.500,1764,23964,27326
unknown,520000,520.000,1806,23967,27329
unknown,522500,522.500,2103,23971,27334
unknown,525000,525.000,2391,23971,27327
unknown,527500,527.500,2390,23968,27352
unknown,530000,530.000,2338,23969,27361
unknown,532500,532.500,2316,23968,27363
unknown,535000,535.000,2179,23978,27364
unknown,537500,537.500,1855,23974,27375
unknown,540000,540.000,1691,23978,27378
unknown,542500,542.500,1814,23980,27390
unknown,545000,545.000,1965,23984,27384
unknown,547500,547.500,1868,23985,27397
unknown,550000,550.000,1730,23988,27404
unknown,552500,552.500,1648,23985,27410
unknown,555000,555.000,1503,23991,27404
unknown,557500,557.500,1243,23995,27413
unknown,560000,560.000,1168,23988,27411
unknown,562500,562.500,1368,23990,27418
unknown,565000,565.000,1622,23993,27414
unknown,567500,567.500,1658,24002,27429
unknown,570000,570.000,1705,23995,27432
unknown,572500,572.500,1819,23999,27440
unknown,575000,575.000,1850,23996,27437
unknown,577500,577.500,1709,24009,27448
unknown,580000,580.000,1686,23999,27451
unknown,582500,582.500,1875,23998,27448
unknown,585000,585.000,2042,24002,27450
unknown,587500,587.500,1976,24015,27457
unknown,590000,590.000,1912,24002,27456
unknown,592500,592.500,1934,24006,27466
unknown,595000,595.000,1888,24011,27449
unknown,597500,597.500,1696,24018,27460
unknown,600000,600.000,1650,24011,27468
unknown,602500,602.500,1835,24009,27475
unknown,605000,605.000,2006,24009,27471
unknown,607500,607.500,1952,24019,27478
unknown,610000,610.000,1902,24012,27475
unknown,612500,612.500,1929,24008,27482
unknown,615000,615.000,1884,24016,27477
unknown,617500,617.500,1696,24022,27475
unknown,620000,620.000,1656,24013,27479
unknown,622500,622.500,1845,24013,27475
unknown,625000,625.000,2018,24010,27465
unknown,627500,627.500,1962,24026,27470
unknown,630000,630.000,1913,24008,27466
unknown,632500,632.500,1946,24004,27474
unknown,635000,635.000,1900,24011,27447
unknown,637500,637.500,1713,24025,27458
unknown,640000,640.000,1672,24005,27457
unknown,642500,642.500,1858,24007,27452
unknown,645000,645.000,2024,24004,27440
unknown,647500,647.500,1972,24007,27442
unknown,650000,650.000,1931,24000,27446
unknown,652500,652.500,1967,24003,27437
unknown,655000,655.000,1921,23995,27417
unknown,657500,657.500,1732,23998,27428
unknown,660000,660.000,1695,23991,27431
unknown,662500,662.500,1884,23998,27428
unknown,665000,665.000,2052,23995,27411
unknown,667500,667.500,1994,23990,27417
unknown,670000,670.000,1947,23989,27417
unknown,672500,672.500,1980,23993,27416
unknown,675000,675.000,1928,23992,27405
unknown,677500,677.500,1739,23994,27413
unknown,680000,680.000,1707,23986,27403
unknown,682500,682.500,1899,23988,27402
unknown,685000,685.000,2065,23983,27398
unknown,687500,687.500,2001,23985,27394
unknown,690000,690.000,1947,23975,27386
unknown,692500,692.500,1972,23985,27392
unknown,695000,695.000,1912,23979,27374
unknown,697500,697.500,1717,23978,27373
unknown,700000,700.000,1679,23979,27368
unknown,702500,702.500,1869,23976,27368
unknown,705000,705.000,2019,23971,27354
unknown,707500,707.500,1958,23972,27358
unknown,710000,710.000,1905,23970,27351
unknown,712500,712.500,1935,23970,27349
unknown,715000,715.000,1870,23957,27330
unknown,717500,717.500,1681,23967,27328
unknown,720000,720.000,1648,23959,27320
unknown,722500,722.500,1838,23954,27308
unknown,725000,725.000,1983,23948,27294
unknown,727500,727.500,1919,23953,27290
unknown,730000,730.000,1869,23945,27283
unknown,732500,732.500,1895,23942,27270
unknown,735000,735.000,1826,23995,27417
unknown,737500,737.500,1634,23932,27243
unknown,740000,740.000,1600,23927,27232
unknown,742500,742.500,1790,23918,27223
unknown,745000,745.000,1935,23911,27210
unknown,747500,747.500,1872,23918,27206
unknown,750000,750.000,1823,23917,27198
unknown,752500,752.500,1856,23907,27188
unknown,755000,755.000,1796,23890,27175
unknown,757500,757.500,1618,23902,27173
unknown,760000,760.000,1601,23898,27164
unknown,762500,762.500,1809,23897,27162
unknown,765000,765.000,1967,23888,27138
unknown,767500,767.500,1908,23896,27138
unknown,770000,770.000,1869,23887,27129
unknown,772500,772.500,1907,23889,27123
unknown,775000,775.000,1840,23872,27111
unknown,777500,777.500,1658,23880,27108
unknown,780000,780.000,1639,23878,27108
unknown,782500,782.500,1843,23880,27105
unknown,785000,785.000,1991,23868,27092
unknown,787500,787.500,1935,23869,27094
unknown,790000,790.000,1889,23868,27092
unknown,792500,792.500,1925,23871,27092
unknown,795000,795.000,1855,23865,27084
unknown,797500,797.500,1675,23872,27083
unknown,800000,800.000,1652,23862,27071
unknown,802500,802.500,1858,23863,27074
unknown,805000,805.000,2000,23858,27073
unknown,807500,807.500,1936,23864,27064
unknown,810000,810.000,1890,23860,27057
unknown,812500,812.500,1927,23858,27057
unknown,815000,815.000,1852,23848,27048
unknown,817500,817.500,1673,23855,27052
unknown,820000,820.000,1657,23860,27048
unknown,822500,822.500,1865,23852,27044
unknown,825000,825.000,2001,23846,27036
unknown,827500,827.500,1942,23847,27047
unknown,830000,830.000,1900,23848,27036
unknown,832500,832.500,1935,23845,27040
unknown,835000,835.000,1859,23842,27024
unknown,837500,837.500,1681,23846,27031
unknown,840000,840.000,1665,23844,27028
unknown,842500,842.500,1870,23848,27036
unknown,845000,845.000,2001,23843,27029
unknown,847500,847.500,1936,23852,27033
unknown,850000,850.000,1895,23846,27035
unknown,852500,852.500,1934,23849,27033
unknown,855000,855.000,1855,23844,27030
unknown,857500,857.500,1681,23849,27038
unknown,860000,860.000,1666,23845,27036
unknown,862500,862.500,1874,23840,27034
unknown,865000,865.000,2001,23837,27035
unknown,867500,867.500,1937,23846,27037
unknown,870000,870.000,1897,23848,27032
unknown,872500,872.500,1936,23849,27028
unknown,875000,875.000,1849,23832,27044
unknown,877500,877.500,1671,23847,27035
unknown,880000,880.000,1660,23846,27029
unknown,882500,882.500,1870,23845,27029
unknown,885000,885.000,1997,23832,27039
unknown,887500,887.500,1931,23847,27031
unknown,890000,890.000,1888,23844,27032
unknown,892500,892.500,1926,23850,27027
unknown,895000,895.000,1839,23839,27043
unknown,897500,897.500,1663,23843,27037
unknown,900000,900.000,1655,23845,27031
unknown,902500,902.500,1866,23850,27033
unknown,905000,905.000,1985,23840,27049
unknown,907500,907.500,1917,23846,27034
unknown,910000,910.000,1875,23847,27033
unknown,912500,912.500,1918,23848,27037
unknown,915000,915.000,1826,23849,27053
unknown,917500,917.500,1650,23848,27038
unknown,920000,920.000,1645,23853,27043
unknown,922500,922.500,1856,23853,27043
unknown,925000,925.000,1975,23850,27056
unknown,927500,927.500,1911,23847,27047
unknown,930000,930.000,1873,23854,27044
unknown,932500,932.500,1915,23850,27052
unknown,935000,935.000,1822,23850,27063
unknown,937500,937.500,1648,23852,27048
unknown,940000,940.000,1646,23851,27052
unknown,942500,942.500,1859,23851,27049
unknown,945000,945.000,1972,23846,27072
unknown,947500,947.500,1907,23855,27050
unknown,950000,950.000,1873,23849,27055
unknown,952500,952.500,1918,23854,27056
unknown,955000,955.000,1827,23853,27060
unknown,957500,957.500,1661,23848,27051
unknown,960000,960.000,1665,23855,27051
unknown,962500,962.500,1886,23857,27049
