person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,30,,25274,29294
unknown,70,,25271,29299
unknown,110,,25240,29271
unknown,150,,25207,29235
unknown,190,,25195,29230
unknown,230,,25217,29282
unknown,270,,25240,29329
unknown,310,,25268,29389
unknown,350,,25260,29349
unknown,390,,25196,29166
unknown,430,,25187,29117
unknown,470,,25162,29079
unknown,510,,25193,29138
unknown,550,,25195,29141
unknown,590,,25180,29139
unknown,630,,25203,29183
unknown,670,,25229,29222
unknown,710,,25263,29268
unknown,750,,25286,29323
unknown,790,,25323,29388
unknown,830,,25344,29444
unknown,870,,25384,29518
unknown,910,,25424,29586
unknown,950,,25446,29629
unknown,990,,25452,29654
unknown,1030,,25448,29658
unknown,1070,,25430,29648
unknown,1110,,25400,29605
unknown,1150,,25302,29386
unknown,1190,,25246,29253
unknown,1230,,25257,29258
unknown,1270,,25287,29302
unknown,1310,,25300,29325
unknown,1350,,25316,29357
unknown,1390,,25343,29399
unknown,1430,,25342,29396
unknown,1480,,25334,29389
unknown,1520,,25345,29411
unknown,1560,,25350,29434
unknown,1600,,25354,29459
unknown,1640,,25354,29474
unknown,1680,,25353,29501
unknown,1720,,25343,29506
unknown,1760,,25344,29501
unknown,1800,,25348,29530
unknown,1840,,25358,29554
unknown,1880,,25311,29433
unknown,1920,,25255,29280
unknown,1960,,25247,29250
unknown,2000,,25256,29269
unknown,2040,,25259,29286
unknown,2080,,25256,29291
unknown,2120,,25263,29323
unknown,2160,,25268,29332
unknown,2200,,25287,29351
unknown,2240,,25308,29385
unknown,2280,,25330,29421
unknown,2320,,25347,29462
unknown,2360,,25363,29497
unknown,2400,,25374,29529
unknown,2440,,25377,29545
unknown,2480,,25372,29558
unknown,2520,,25381,29582
unknown,2560,,25387,29600
unknown,2600,,25336,29487
unknown,2640,,25254,29289
unknown,2680,,25211,29194
unknown,2720,,25202,29186
unknown,2760,,25216,29215
unknown,2800,,25248,29278
unknown,2840,,25305,29383
unknown,2880,,25359,29460
unknown,2920,,25387,29494
unknown,2960,,25401,29519
unknown,3000,,25419,29557
unknown,3040,,25424,29587
unknown,3080,,25431,29604
unknown,3120,,25423,29607
unknown,3160,,25418,29608
unknown,3200,,25408,29606
unknown,3240,,25400,29605
unknown,3280,,25396,29613
unknown,3320,,25367,29551
unknown,3360,,25290,29364
unknown,3400,,25254,29272
unknown,3440,,25256,29276
unknown,3480,,25264,29292
unknown,3520,,25277,29310
unknown,3560,,25296,29350
unknown,3600,,25304,29376
unknown,3640,,25310,29381
unknown,3680,,25314,29385
unknown,3720,,25303,29387
unknown,3760,,25297,29391
unknown,3800,,25294,29396
unknown,3840,,25301,29411
unknown,3880,,25293,29414
unknown,3920,,25282,29419
unknown,3960,,25292,29439
unknown,4000,,25306,29465
unknown,4040,,25308,29484
unknown,4080,,25262,29366
unknown,4120,,25205,29216
unknown,4160,,25188,29167
unknown,4200,,25195,29176
unknown,4240,,25208,29210
unknown,4280,,25226,29249
unknown,4320,,25253,29312
unknown,4360,,25270,29343
unknown,4400,,25293,29374
unknown,4440,,25315,29419
unknown,4480,,25334,29466
unknown,4520,,25354,29516
unknown,4560,,25378,29563
unknown,4600,,25394,29604
unknown,4640,,25415,29648
unknown,4680,,25423,29673
unknown,4720,,25427,29693
unknown,4760,,25436,29722
unknown,4800,,25414,29672
unknown,4840,,25343,29480
unknown,4880,,25307,29380
unknown,4920,,25301,29365
unknown,4960,,25304,29381
