person_name,time_us,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,0,0.000,,24309,28780
unknown,2500,2.500,,24307,28776
unknown,5000,5.000,,24305,28761
unknown,7500,7.500,,24291,28746
unknown,10000,10.000,,24300,28742
unknown,12500,12.500,,24295,28738
unknown,15000,15.000,,24287,28713
unknown,17500,17.500,,24311,28783
unknown,20000,20.000,,24275,28676
unknown,22500,22.500,,24261,28642
unknown,25000,25.000,,24257,28611
unknown,27500,27.500,,24243,28580
unknown,30000,30.000,,24238,28563
unknown,32500,32.500,,24231,28544
unknown,35000,35.000,,24226,28524
unknown,37500,37.500,,24219,28507
unknown,40000,40.000,,24216,28498
unknown,42500,42.500,,24217,28485
unknown,45000,45.000,,24216,28466
unknown,47500,47.500,,24201,28459
unknown,50000,50.000,,24203,28457
unknown,52500,52.500,,24197,28444
unknown,55000,55.000,,24203,28434
unknown,57500,57.500,,24195,28424
unknown,60000,60.000,,24185,28432
unknown,62500,62.500,,24188,28421
unknown,65000,65.000,,24192,28417
unknown,67500,67.500,,24188,28408
unknown,70000,70.000,,24188,28414
unknown,72500,72.500,,24192,28415
unknown,75000,75.000,,24183,28404
unknown,77500,77.500,,24180,28407
unknown,80000,80.000,,24183,28408
unknown,82500,82.500,,24183,28412
unknown,85000,85.000,,24193,28410
unknown,87500,87.500,,24178,28408
unknown,90000,90.000,,24177,28409
unknown,92500,92.500,,24192,28402
unknown,95000,95.000,,24189,28415
unknown,97500,97.500,,24177,28412
unknown,100000,100.000,,24184,28414
unknown,102500,102.500,,24192,28416
unknown,105000,105.000,,24196,28415
unknown,107500,107.500,,24179,28415
unknown,110000,110.000,,24193,28417
unknown,112500,112.500,,24189,28425
unknown,115000,115.000,,24196,28425
unknown,117500,117.500,,24187,28419
unknown,120000,120.000,,24198,28440
unknown,122500,122.500,,24198,28441
unknown,125000,125.000,,24202,28442
unknown,127500,127.500,,24193,28429
unknown,130000,130.000,,24199,28453
unknown,132500,132.500,,24206,28459
unknown,135000,135.000,,24212,28462
unknown,137500,137.500,,24204,28464
unknown,140000,140.000,,24211,28482
unknown,142500,142.500,,24212,28484
unknown,145000,145.000,,24220,28488
unknown,147500,147.500,,24188,28408
unknown,150000,150.000,,24218,28497
unknown,152500,152.500,,24227,28502
unknown,155000,155.000,,24226,28507
unknown,157500,157.500,,24221,28515
unknown,160000,160.000,,24229,28518
unknown,162500,162.500,,24232,28519
unknown,165000,165.000,,24228,28518
unknown,167500,167.500,,24228,28523
unknown,170000,170.000,,24233,28525
unknown,172500,172.500,,24227,28534
unknown,175000,175.000,,24239,28529
unknown,177500,177.500,,24234,28538
unknown,180000,180.000,,24237,28544
unknown,182500,182.500,,24241,28544
unknown,185000,185.000,,24233,28549
unknown,187500,187.500,,24231,28542
unknown,190000,190.000,,24248,28554
unknown,192500,192.500,,24240,28556
unknown,195000,195.000,,24242,28560
unknown,197500,197.500,,24239,28551
unknown,200000,200.000,,24252,28566
unknown,202500,202.500,,24245,28570
unknown,205000,205.000,,24247,28567
unknown,207500,207.500,,24247,28579
unknown,210000,210.000,,24252,28576
unknown,212500,212.500,,24251,28578
unknown,215000,215.000,,24250,28587
unknown,217500,217.500,,24237,28599
unknown,220000,220.000,,24252,28592
unknown,222500,222.500,,24248,28590
unknown,225000,225.000,,24243,28588
unknown,227500,227.500,,24241,28603
unknown,230000,230.000,,24250,28595
unknown,232500,232.500,,24250,28586
unknown,235000,235.000,,24248,28596
unknown,237500,237.500,,24239,28611
unknown,240000,240.000,,24254,28597
unknown,242500,242.500,,24255,28597
unknown,245000,245.000,,24246,28591
unknown,247500,247.500,,24238,28602
unknown,250000,250.000,,24246,28593
unknown,252500,252.500,,24245,28589
unknown,255000,255.000,,24247,28588
unknown,257500,257.500,,24237,28598
unknown,260000,260.000,,24247,28585
unknown,262500,262.500,,24242,28576
unknown,265000,265.000,,24245,28570
unknown,267500,267.500,,24235,28589
unknown,270000,270.000,,24237,28572
unknown,272500,272.500,,24234,28569
unknown,275000,275.000,,24234,28564
unknown,277500,277.500,,24238,28581
unknown,280000,280.000,,24242,28566
unknown,282500,282.500,,24234,28561
unknown,285000,285.000,,24231,28539
unknown,287500,287.500,,24221,28554
unknown,290000,290.000,,24228,28543
unknown,292500,292.500,,24229,28541
unknown,295000,295.000,,24223,28529
unknown,297500,297.500,,24216,28533
unknown,300000,300.000,,24221,28521
unknown,302500,302.500,,24220,28522
unknown,305000,305.000,,24213,28504
unknown,307500,307.500,,24214,28513
unknown,310000,310.000,,24218,28504
unknown,312500,312.500,,24212,28508
unknown,315000,315.000,,24208,28498
unknown,317500,317.500,,24212,28497
unknown,320000,320.000,,24212,28499
unknown,322500,322.500,,24205,28491
unknown,325000,325.000,,24202,28491
unknown,327500,327.500,,24209,28482
unknown,330000,330.000,,24200,28484
unknown,332500,332.500,,24197,28476
unknown,335000,335.000,,24194,28465
unknown,337500,337.500,,24193,28458
unknown,340000,340.000,,24200,28460
unknown,342500,342.500,,24191,28455
unknown,345000,345.000,,24183,28444
unknown,347500,347.500,,24174,28435
unknown,350000,350.000,,24182,28438
unknown,352500,352.500,,24180,28436
unknown,355000,355.000,,24182,28430
unknown,357500,357.500,,24171,28423
unknown,360000,360.000,,24176,28425
unknown,362500,362.500,,24177,28431
unknown,365000,365.000,,24176,28418
unknown,367500,367.500,,24164,28415
unknown,370000,370.000,,24171,28422
unknown,372500,372.500,,24170,28416
unknown,375000,375.000,,24177,28415
unknown,377500,377.500,,24167,28415
unknown,380000,380.000,,24175,28415
unknown,382500,382.500,,24172,28417
unknown,385000,385.000,,24168,28405
unknown,387500,387.500,,24173,28410
unknown,390000,390.000,,24169,28413
unknown,392500,392.500,,24171,28414
unknown,395000,395.000,,24167,28401
unknown,397500,397.500,,24166,28403
unknown,400000,400.000,,24172,28404
unknown,402500,402.500,,24160,28402
unknown,405000,405.000,,24164,28391
unknown,407500,407.500,,24153,28400
unknown,410000,410.000,,24163,28394
unknown,412500,412.500,,24160,28405
unknown,415000,415.000,,24157,28387
unknown,417500,417.500,,24156,28404
unknown,420000,420.000,,24164,28404
unknown,422500,422.500,,24161,28405
unknown,425000,425.000,,24166,28383
unknown,427500,427.500,,24160,28406
unknown,430000,430.000,,24164,28406
unknown,432500,432.500,,24164,28403
unknown,435000,435.000,,24165,28401
unknown,437500,437.500,,24165,28419
unknown,440000,440.000,,24167,28420
unknown,442500,442.500,,24170,28418
unknown,445000,445.000,,24165,28412
unknown,447500,447.500,,24173,28419
unknown,450000,450.000,,24172,28423
unknown,452500,452.500,,24169,28428
unknown,455000,455.000,,24168,28414
unknown,457500,457.500,,24179,28435
unknown,460000,460.000,,24169,28435
unknown,462500,462.500,,24172,28430
unknown,465000,465.000,,24164,28424
unknown,467500,467.500,,24182,28433
unknown,470000,470.000,,24169,28434
unknown,472500,472.500,,24172,28437
unknown,475000,475.000,,24171,28438
unknown,477500,477.500,,24185,28448
unknown,480000,480.000,,24173,28449
unknown,482500,482.500,,24182,28442
unknown,485000,485.000,,24164,28391
unknown,487500,487.500,,24187,28453
unknown,490000,490.000,,24178,28457
unknown,492500,492.500,,24179,28456
unknown,495000,495.000,,24171,28447
unknown,497500,497.500,,24191,28462
unknown,500000,500.000,,24181,28465
unknown,502500,502.500,,24179,28465
unknown,505000,505.000,,24179,28471
unknown,507500,507.500,,24198,28470
unknown,510000,510.000,,24182,28475
unknown,512500,512.500,,24182,28474
unknown,515000,515.000,,24183,28468
unknown,517500,517.500,,24195,28487
unknown,520000,520.000,,24189,28482
unknown,522500,522.500,,24185,28482
unknown,525000,525.000,,24183,28470
unknown,527500,527.500,,24194,28483
unknown,530000,530.000,,24186,28487
unknown,532500,532.500,,24192,28490
unknown,535000,535.000,,24185,28479
unknown,537500,537.500,,24182,28488
unknown,540000,540.000,,24187,28493
unknown,542500,542.500,,24194,28486
unknown,545000,545.000,,24164,28424
unknown,547500,547.500,,24187,28502
unknown,550000,550.000,,24186,28497
unknown,552500,552.500,,24190,28497
unknown,555000,555.000,,24188,28499
unknown,557500,557.500,,24185,28503
unknown,560000,560.000,,24192,28504
unknown,562500,562.500,,24202,28505
unknown,565000,565.000,,24187,28499
unknown,567500,567.500,,24189,28511
unknown,570000,570.000,,24194,28505
unknown,572500,572.500,,24193,28513
unknown,575000,575.000,,24188,28510
unknown,577500,577.500,,24194,28520
unknown,580000,580.000,,24199,28517
unknown,582500,582.500,,24204,28523
unknown,585000,585.000,,24198,28510
unknown,587500,587.500,,24189,28525
unknown,590000,590.000,,24201,28521
unknown,592500,592.500,,24206,28524
unknown,595000,595.000,,24193,28524
unknown,597500,597.500,,24200,28526
unknown,600000,600.000,,24199,28524
unknown,602500,602.500,,24201,28523
unknown,605000,605.000,,24193,28513
unknown,607500,607.500,,24188,28514
unknown,610000,610.000,,24194,28512
unknown,612500,612.500,,24193,28497
unknown,615000,615.000,,24175,28489
unknown,617500,617.500,,24179,28478
unknown,620000,620.000,,24176,28463
unknown,622500,622.500,,24173,28452
unknown,625000,625.000,,24156,28429
unknown,627500,627.500,,24155,28409
unknown,630000,630.000,,24152,28387
unknown,632500,632.500,,24150,28373
unknown,635000,635.000,,24132,28350
unknown,637500,637.500,,24139,28341
unknown,640000,640.000,,24136,28330
unknown,642500,642.500,,24131,28321
unknown,645000,645.000,,24119,28300
unknown,647500,647.500,,24126,28303
unknown,650000,650.000,,24123,28297
unknown,652500,652.500,,24119,28290
unknown,655000,655.000,,24103,28270
unknown,657500,657.500,,24120,28279
unknown,660000,660.000,,24121,28280
unknown,662500,662.500,,24114,28274
unknown,665000,665.000,,24112,28265
unknown,667500,667.500,,24115,28276
unknown,670000,670.000,,24114,28270
unknown,672500,672.500,,24114,28273
unknown,675000,675.000,,24193,28524
unknown,677500,677.500,,24127,28279
unknown,680000,680.000,,24125,28283
unknown,682500,682.500,,24118,28280
unknown,685000,685.000,,24113,28286
unknown,687500,687.500,,24123,28293
unknown,690000,690.000,,24128,28292
unknown,692500,692.500,,24128,28296
unknown,695000,695.000,,24120,28299
unknown,697500,697.500,,24138,28303
unknown,700000,700.000,,24131,28308
unknown,702500,702.500,,24133,28308
unknown,705000,705.000,,24131,28310
unknown,707500,707.500,,24138,28316
unknown,710000,710.000,,24136,28325
unknown,712500,712.500,,24134,28317
unknown,715000,715.000,,24138,28320
unknown,717500,717.500,,24144,28330
unknown,720000,720.000,,24148,28329
unknown,722500,722.500,,24136,28335
unknown,725000,725.000,,24145,28332
unknown,727500,727.500,,24149,28348
unknown,730000,730.000,,24153,28343
unknown,732500,732.500,,24141,28341
unknown,735000,735.000,,24144,28350
unknown,737500,737.500,,24150,28349
unknown,740000,740.000,,24147,28355
unknown,742500,742.500,,24146,28357
unknown,745000,745.000,,24147,28366
unknown,747500,747.500,,24156,28366
unknown,750000,750.000,,24155,28368
unknown,752500,752.500,,24152,28368
unknown,755000,755.000,,24154,28387
unknown,757500,757.500,,24157,28382
unknown,760000,760.000,,24164,28389
unknown,762500,762.500,,24165,28383
unknown,765000,765.000,,24151,28412
unknown,767500,767.500,,24167,28400
unknown,770000,770.000,,24167,28402
unknown,772500,772.500,,24165,28405
unknown,775000,775.000,,24161,28418
unknown,777500,777.500,,24170,28421
unknown,780000,780.000,,24176,28416
unknown,782500,782.500,,24174,28412
unknown,785000,785.000,,24162,28438
unknown,787500,787.500,,24182,28430
unknown,790000,790.000,,24177,28430
unknown,792500,792.500,,24180,28431
