person_name,time_us,time_ms,ecg_raw,ecg_bandpass_0.5_45Hz,ppg_ir_raw,ppg_ir_bandpass_0.5_8Hz,ppg_red_raw
unknown,0,0.000,1904,-137.527679,27879,-182.557073,23406
unknown,500,0.500,1752,-142.255693,27942,-186.264029,23437
unknown,2500,2.500,1747,-120.157611,27882,-189.257990,23404
unknown,5000,5.000,1613,-78.479021,27886,-191.569223,23405
unknown,7500,7.500,1675,-30.663111,27890,-193.232965,23409
unknown,10000,10.000,1907,8.529917,27897,-194.288832,23408
unknown,12500,12.500,1949,28.268396,27895,-194.780182,23407
unknown,15000,15.000,1890,25.252658,27893,-194.753458,23416
unknown,17500,17.500,1869,4.353702,27908,-194.257498,23408
unknown,20000,20.000,1904,-23.835680,27902,-193.342838,23410
unknown,22500,22.500,1748,-47.441300,27914,-192.061009,23409
unknown,25000,25.000,1616,-57.902309,27905,-190.463847,23414
unknown,27500,27.500,1673,-52.909114,27918,-188.602812,23416
unknown,30000,30.000,1899,-36.631793,27916,-186.528338,23416
unknown,32500,32.500,1936,-17.339804,27918,-184.289219,23417
unknown,35000,35.000,1873,-3.570683,27921,-181.932029,23417
unknown,37500,37.500,1861,-0.530849,27923,-179.500603,23420
unknown,40000,40.000,1902,-8.208910,27922,-177.035563,23416
unknown,42500,42.500,1750,-21.868744,27926,-174.573918,23421
unknown,45000,45.000,1617,-34.537970,27924,-172.148718,23418
unknown,47500,47.500,1682,-40.276162,27922,-169.788789,23427
unknown,50000,50.000,1912,-36.742808,27932,-167.518529,23422
unknown,52500,52.500,1945,-25.976156,27930,-165.357787,23420
unknown,55000,55.000,1881,-13.142072,27927,-163.321813,23422
unknown,57500,57.500,1867,-3.926814,27933,-161.421273,23422
unknown,60000,60.000,1904,-1.824001,27933,-159.662350,23420
unknown,62500,62.500,1751,-6.561983,27931,-158.046897,23422
unknown,65000,65.000,1620,-14.355123,27931,-156.572663,23420
unknown,67500,67.500,1693,-19.810065,27931,-155.233575,23420
unknown,70000,70.000,1931,-18.565797,27931,-154.020069,23423
unknown,72500,72.500,1968,-9.429136,27934,-152.919475,23419
unknown,75000,75.000,1910,4.982231,27930,-151.916434,23426
unknown,77500,77.500,1903,19.382918,27936,-150.993351,23419
unknown,80000,80.000,1939,28.225434,27927,-150.130865,23420
unknown,82500,82.500,1781,28.272845,27939,-149.308345,23429
unknown,85000,85.000,1651,20.170796,27933,-148.504382,23423
unknown,87500,87.500,1708,8.303961,27940,-147.697285,23416
unknown,90000,90.000,1937,-1.008868,27938,-146.865566,23431
unknown,92500,92.500,1974,-2.188530,27943,-145.988409,23425
unknown,95000,95.000,1917,7.233631,27936,-145.046108,23425
unknown,97500,97.500,1921,25.575607,27946,-144.020483,23431
unknown,100000,100.000,1970,47.727074,27943,-142.895246,23429
unknown,102500,102.500,1825,67.288619,27947,-141.656334,23427
unknown,105000,105.000,1703,79.170306,27939,-140.292178,23434
unknown,107500,107.500,1777,81.513774,27947,-138.793937,23432
unknown,110000,110.000,2005,76.128507,27953,-137.155662,23432
unknown,112500,112.500,2033,67.310003,27951,-135.374406,23428
unknown,115000,115.000,1968,59.628102,27943,-133.450275,23428
unknown,117500,117.500,1957,55.716464,27949,-131.386420,23428
unknown,120000,120.000,1988,55.067252,27954,-129.188967,23431
unknown,122500,122.500,1819,54.359043,27958,-126.866898,23429
unknown,125000,125.000,1680,49.141659,27945,-124.431865,23432
unknown,127500,127.500,1726,36.088230,27954,-121.897964,23433
unknown,130000,130.000,1936,14.775924,27958,-119.281463,23435
unknown,132500,132.500,1946,-11.820961,27955,-116.600484,23437
unknown,135000,135.000,1865,-38.354709,27944,-113.874651,23433
unknown,137500,137.500,1839,-59.189957,27964,-111.124716,23426
unknown,140000,140.000,1869,-70.624480,27958,-108.372154,23433
unknown,142500,142.500,1699,-72.266826,27957,-105.638754,23433
unknown,145000,145.000,1568,-66.980791,27955,-102.946195,23437
unknown,147500,147.500,1637,-59.454607,27956,-100.315628,23428
unknown,150000,150.000,1869,-54.065881,27963,-97.767263,23433
unknown,152500,152.500,1900,-53.015879,27961,-95.319974,23433
unknown,155000,155.000,1835,-55.565231,27951,-92.990923,23437
unknown,157500,157.500,1833,-58.685984,27962,-90.795220,23433
unknown,160000,160.000,1874,-58.789830,27965,-88.745610,23431
unknown,162500,162.500,1723,-53.698502,27967,-86.852205,23436
unknown,165000,165.000,1603,-43.914640,27955,-85.122264,23435
unknown,167500,167.500,1677,-32.578837,27970,-83.560016,23442
unknown,170000,170.000,1903,-24.111865,27967,-82.166544,23432
unknown,172500,172.500,1924,-22.159913,27971,-80.939714,23437
unknown,175000,175.000,1857,-27.800574,27946,-79.874171,23427
unknown,177500,177.500,1840,-38.868283,27963,-78.961382,23447
unknown,180000,180.000,1876,-50.758885,27968,-78.189746,23434
unknown,182500,182.500,1715,-58.395779,27966,-77.544747,23438
unknown,185000,185.000,1595,-58.491754,27966,-77.009164,23438
unknown,187500,187.500,1672,-51.075577,27969,-76.563338,23451
unknown,190000,190.000,1901,-39.556034,27975,-76.185469,23443
unknown,192500,192.500,1919,-29.243363,27972,-75.851960,23435
unknown,195000,195.000,1852,-24.954161,27966,-75.537803,23432
unknown,197500,197.500,1839,-28.771692,27971,-75.216974,23448
unknown,200000,200.000,1875,-39.006812,27972,-74.862869,23436
unknown,202500,202.500,1717,-50.899146,27977,-74.448739,23434
unknown,205000,205.000,1598,-58.821833,27971,-73.948143,23442
unknown,207500,207.500,1674,-59.043420,27979,-73.335390,23451
unknown,210000,210.000,1900,-51.779147,27983,-72.585981,23438
unknown,212500,212.500,1916,-41.494507,27973,-71.677029,23432
unknown,215000,215.000,1846,-35.134873,27971,-70.587663,23445
unknown,217500,217.500,1823,-38.861326,27985,-69.299390,23451
unknown,220000,220.000,1842,-54.591626,27986,-67.796435,23438
unknown,222500,222.500,1673,-77.856415,27987,-66.066029,23436
unknown,225000,225.000,1545,-98.065046,27974,-64.098652,23437
unknown,227500,227.500,1648,-101.372728,27989,-61.888226,23459
unknown,230000,230.000,1905,-75.299319,27984,-59.432250,23443
unknown,232500,232.500,1967,-13.489221,27987,-56.731875,23443
unknown,235000,235.000,1957,81.159779,27970,-53.791929,23443
unknown,237500,237.500,2026,196.247143,27991,-50.620864,23458
unknown,240000,240.000,2192,312.725730,27989,-47.230662,23445
unknown,242500,242.500,2159,409.956891,27997,-43.636663,23445
unknown,245000,245.000,2132,471.252364,27971,-39.857352,23441
unknown,247500,247.500,2242,488.024478,27996,-35.914080,23458
unknown,250000,250.000,2447,461.202051,28001,-31.830739,23445
unknown,252500,252.500,2385,399.596716,28005,-27.633398,23440
unknown,255000,255.000,2187,316.023097,27984,-23.349886,23449
unknown,257500,257.500,2045,222.755944,28008,-19.009359,23453
unknown,260000,260.000,1998,128.056618,28005,-14.641825,23447
unknown,262500,262.500,1787,34.980020,28010,-10.277661,23443
unknown,265000,265.000,1617,-57.296676,27988,-5.947117,23442
unknown,267500,267.500,1617,-150.408415,28016,-1.679817,23455
unknown,270000,270.000,1729,-243.463243,28014,2.495735,23446
unknown,272500,272.500,1622,-330.966656,28012,6.552636,23449
unknown,275000,275.000,1459,-403.000241,27966,10.466035,23432
unknown,277500,277.500,1408,-447.710048,28022,14.213564,23450
unknown,280000,280.000,1452,-455.210995,28028,17.775725,23451
unknown,282500,282.500,1332,-421.422848,28027,21.136238,23456
unknown,285000,285.000,1293,-350.344202,28017,24.282326,23459
unknown,287500,287.500,1482,-253.835697,28025,27.204963,23452
unknown,290000,290.000,1816,-148.894427,28035,29.899041,23459
unknown,292500,292.500,1910,-53.305355,28032,32.363487,23455
unknown,295000,295.000,1911,18.885395,28025,34.601302,23455
unknown,297500,297.500,1933,60.610555,28040,36.619541,23459
unknown,300000,300.000,1971,72.773112,28041,38.429210,23462
unknown,302500,302.500,1805,62.842644,28045,40.045102,23464
unknown,305000,305.000,1681,41.723697,28045,41.485567,23455
unknown,307500,307.500,1746,20.081091,28048,42.772208,23457
unknown,310000,310.000,1965,5.364946,28052,43.929518,23460
unknown,312500,312.500,1969,0.394407,28048,44.984467,23461
unknown,315000,315.000,1903,3.713932,28050,45.966026,23457
unknown,317500,317.500,1888,11.290886,28056,46.904656,23460
unknown,320000,320.000,1925,18.714816,28059,47.831753,23470
unknown,322500,322.500,1764,23.011621,28056,48.779066,23463
unknown,325000,325.000,1655,23.474617,28059,49.778097,23458
unknown,327500,327.500,1745,21.388392,28062,50.859485,23464
unknown,330000,330.000,1974,18.974673,28057,52.052389,23470
unknown,332500,332.500,1985,18.147357,28056,53.383879,23463
unknown,335000,335.000,1917,19.648515,28056,54.878348,23460
unknown,337500,337.500,1904,22.888470,28055,56.556939,23464
unknown,340000,340.000,1938,26.461220,28057,58.437025,23457
unknown,342500,342.500,1776,29.009942,28064,60.531716,23466
unknown,345000,345.000,1664,29.995302,27988,62.849433,23442
unknown,347500,347.500,1750,30.006168,28063,65.393536,23468
unknown,350000,350.000,1979,30.491047,28060,68.162018,23462
unknown,352500,352.500,1990,33.062285,28070,71.147280,23459
unknown,355000,355.000,1935,38.711807,28068,74.335979,23456
unknown,357500,357.500,1935,47.301374,28073,77.708959,23468
unknown,360000,360.000,1976,57.552179,28070,81.241268,23468
unknown,362500,362.500,1816,67.528212,28065,84.902265,23468
unknown,365000,365.000,1710,75.390956,28070,88.655809,23455
unknown,367500,367.500,1800,80.093197,28074,92.460538,23467
unknown,370000,370.000,2028,81.719395,28077,96.270230,23468
unknown,372500,372.500,2034,81.344527,28076,100.034246,23474
unknown,375000,375.000,1973,80.495656,28066,103.698049,23456
unknown,377500,377.500,1968,80.466709,28076,107.203790,23470
unknown,380000,380.000,2001,81.787539,28072,110.490963,23465
unknown,382500,382.500,1836,84.066681,28068,113.497112,23470
unknown,385000,385.000,1726,86.254432,28062,116.158579,23463
unknown,387500,387.500,1809,87.187470,28069,118.411302,23473
unknown,390000,390.000,2031,86.159087,28075,120.191630,23466
unknown,392500,392.500,2032,83.258182,28069,121.437154,23463
unknown,395000,395.000,1967,79.331717,28063,122.087548,23456
unknown,397500,397.500,1962,75.596917,28067,122.085404,23465
unknown,400000,400.000,1996,73.084572,28069,121.377043,23467
unknown,402500,402.500,1824,72.166309,28060,119.913303,23462
unknown,405000,405.000,1712,72.377628,28059,117.650290,23456
unknown,407500,407.500,1797,72.615246,28063,114.550069,23463
unknown,410000,410.000,2018,71.621638,28059,110.581308,23461
unknown,412500,412.500,2017,68.544037,28053,105.719841,23463
unknown,415000,415.000,1951,63.323167,28061,99.949162,23453
unknown,417500,417.500,1941,56.741216,28052,93.260832,23460
unknown,420000,420.000,1970,50.105579,28045,85.654791,23454
unknown,422500,422.500,1796,44.700945,28040,77.139581,23451
unknown,425000,425.000,1677,41.240667,28034,67.732463,23447
