person_name,time_us,time_ms,ecg_raw,ecg_bandpass_0.5_45Hz,ppg_ir_raw,ppg_ir_bandpass_0.5_8Hz,ppg_red_raw
unknown,0,0.000,,,28525,7.251389,24109
unknown,2500,2.500,,,28532,-12.441563,24111
unknown,5000,5.000,,,28521,-32.050170,24110
unknown,7500,7.500,,,28514,-51.461926,24105
unknown,10000,10.000,,,28514,-70.566206,24099
unknown,12500,12.500,,,28512,-89.255361,24109
unknown,15000,15.000,,,28509,-107.425764,24106
unknown,17500,17.500,,,28505,-124.978821,24106
unknown,20000,20.000,,,28499,-141.821909,24094
unknown,22500,22.500,,,28511,-157.869246,24105
unknown,25000,25.000,,,28501,-173.042675,24099
unknown,27500,27.500,,,28490,-187.272359,24099
unknown,30000,30.000,,,28485,-200.497376,24100
unknown,32500,32.500,,,28499,-212.666198,24100
unknown,35000,35.000,,,28497,-223.737071,24104
unknown,37500,37.500,,,28497,-233.678271,24100
unknown,40000,40.000,,,28491,-242.468242,24098
unknown,42500,42.500,,,28502,-250.095619,24099
unknown,45000,45.000,,,28501,-256.559131,24098
unknown,47500,47.500,,,28499,-261.867387,24103
unknown,50000,50.000,,,28499,-266.038555,24093
unknown,52500,52.500,,,28495,-269.099931,24100
unknown,55000,55.000,,,28505,-271.087410,24096
unknown,57500,57.500,,,28500,-272.044868,24104
unknown,60000,60.000,,,28498,-272.023455,24091
unknown,62500,62.500,,,28507,-271.080826,24101
unknown,65000,65.000,,,28496,-269.280301,24101
unknown,67500,67.500,,,28498,-266.689982,24102
unknown,70000,70.000,,,28495,-263.381830,24092
unknown,72500,72.500,,,28504,-259.430719,24099
unknown,75000,75.000,,,28499,-254.913475,24100
unknown,77500,77.500,,,28502,-249.907922,24100
unknown,80000,80.000,,,28491,-244.491935,24099
unknown,82500,82.500,,,28505,-238.742521,24098
unknown,85000,85.000,,,28505,-232.734940,24096
unknown,87500,87.500,,,28500,-226.541874,24094
unknown,90000,90.000,,,28493,-220.232653,24093
unknown,92500,92.500,,,28500,-213.872550,24096
unknown,95000,95.000,,,28498,-207.522157,24092
unknown,97500,97.500,,,28504,-201.236837,24100
unknown,100000,100.000,,,28504,-195.066272,24094
unknown,102500,102.500,,,28512,-189.054105,24095
unknown,105000,105.000,,,28512,-183.237675,24100
unknown,107500,107.500,,,28510,-177.647854,24101
unknown,110000,110.000,,,28523,-172.308981,24103
unknown,112500,112.500,,,28521,-167.238899,24104
unknown,115000,115.000,,,28524,-162.449077,24103
unknown,117500,117.500,,,28526,-157.944834,24102
unknown,120000,120.000,,,28534,-153.725640,24091
unknown,122500,122.500,,,28530,-149.785504,24102
unknown,125000,125.000,,,28526,-146.113429,24103
unknown,127500,127.500,,,28535,-142.693931,24106
unknown,130000,130.000,,,28549,-139.507610,24098
unknown,132500,132.500,,,28535,-136.531774,24104
unknown,135000,135.000,,,28542,-133.741084,24107
unknown,137500,137.500,,,28545,-131.108226,24105
unknown,140000,140.000,,,28554,-128.604602,24102
unknown,142500,142.500,,,28544,-126.201010,24112
unknown,145000,145.000,,,28551,-123.868317,24110
unknown,147500,147.500,,,28555,-121.578113,24112
unknown,150000,150.000,,,28569,-119.303331,24099
unknown,152500,152.500,,,28562,-117.018823,24114
unknown,155000,155.000,,,28569,-114.701890,24115
unknown,157500,157.500,,,28577,-112.332751,24122
unknown,160000,160.000,,,28587,-109.894946,24119
unknown,162500,162.500,,,28583,-107.375665,24125
unknown,165000,165.000,,,28585,-104.766010,24123
unknown,167500,167.500,,,28591,-102.061164,24121
unknown,170000,170.000,,,28609,-99.260490,24130
unknown,172500,172.500,,,28599,-96.367536,24125
unknown,175000,175.000,,,28604,-93.389970,24128
unknown,177500,177.500,,,28610,-90.339422,24130
unknown,180000,180.000,,,28625,-87.231259,24130
unknown,182500,182.500,,,28610,-84.084278,24134
unknown,185000,185.000,,,28612,-80.920337,24126
unknown,187500,187.500,,,28613,-77.763925,24135
unknown,190000,190.000,,,28624,-74.641673,24124
unknown,192500,192.500,,,28617,-71.581829,24136
unknown,195000,195.000,,,28620,-68.613686,24129
unknown,197500,197.500,,,28620,-65.766995,24124
unknown,200000,200.000,,,28625,-63.071352,24130
unknown,202500,202.500,,,28616,-60.555589,24141
unknown,205000,205.000,,,28614,-58.247161,24124
unknown,207500,207.500,,,28621,-56.171554,24132
unknown,210000,210.000,,,28617,-54.351722,24126
unknown,212500,212.500,,,28617,-52.807547,24134
unknown,215000,215.000,,,28611,-51.555360,24126
unknown,217500,217.500,,,28613,-50.607507,24125
unknown,220000,220.000,,,28612,-49.971977,24136
unknown,222500,222.500,,,28608,-49.652100,24134
unknown,225000,225.000,,,28603,-49.646324,24122
unknown,227500,227.500,,,28604,-49.948061,24118
unknown,230000,230.000,,,28599,-50.545630,24122
unknown,232500,232.500,,,28599,-51.422273,24124
unknown,235000,235.000,,,28600,-52.556266,24121
unknown,237500,237.500,,,28601,-53.921109,24111
unknown,240000,240.000,,,28597,-55.485806,24116
unknown,242500,242.500,,,28595,-57.215222,24124
unknown,245000,245.000,,,28594,-59.070521,24113
unknown,247500,247.500,,,28592,-61.009668,24115
unknown,250000,250.000,,,28587,-62.988007,24104
unknown,252500,252.500,,,28586,-64.958880,24120
unknown,255000,255.000,,,28589,-66.874310,24114
unknown,257500,257.500,,,28588,-68.685709,24113
unknown,260000,260.000,,,28594,-70.344623,24110
unknown,262500,262.500,,,28587,-71.803491,24125
unknown,265000,265.000,,,28590,-73.016405,24117
unknown,267500,267.500,,,28587,-73.939876,24109
unknown,270000,270.000,,,28587,-74.533569,24116
unknown,272500,272.500,,,28588,-74.761024,24120
unknown,275000,275.000,,,28591,-74.590325,24113
unknown,277500,277.500,,,28574,-73.994727,24114
unknown,280000,280.000,,,28579,-72.953221,24125
unknown,282500,282.500,,,28583,-71.451028,24114
unknown,285000,285.000,,,28577,-69.480016,24110
unknown,287500,287.500,,,28574,-67.039036,24108
unknown,290000,290.000,,,28588,-64.134161,24114
unknown,292500,292.500,,,28592,-60.778831,24113
unknown,295000,295.000,,,28596,-56.993902,24109
unknown,297500,297.500,,,28577,-52.807586,24115
unknown,300000,300.000,,,28595,-48.255294,24115
unknown,302500,302.500,,,28598,-43.379377,24129
unknown,305000,305.000,,,28600,-38.228760,24120
unknown,307500,307.500,,,28588,-32.858490,24115
unknown,310000,310.000,,,28610,-27.329181,24110
unknown,312500,312.500,,,28606,-21.706384,24122
unknown,315000,315.000,,,28612,-16.059868,24117
unknown,317500,317.500,,,28603,-10.462844,24121
unknown,320000,320.000,,,28620,-4.991119,24122
unknown,322500,322.500,,,28626,0.277797,24121
unknown,325000,325.000,,,28633,5.265618,24128
unknown,327500,327.500,,,28626,9.894237,24129
unknown,330000,330.000,,,28636,14.086699,24131
unknown,332500,332.500,,,28640,17.768170,24130
unknown,335000,335.000,,,28650,20.866893,24135
unknown,337500,337.500,,,28644,23.315125,24137
unknown,340000,340.000,,,28659,25.050034,24148
unknown,342500,342.500,,,28655,26.014546,24133
unknown,345000,345.000,,,28662,26.158134,24140
unknown,347500,347.500,,,28656,25.437532,24136
unknown,350000,350.000,,,28663,23.817376,24149
unknown,352500,352.500,,,28672,21.270742,24145
unknown,355000,355.000,,,28679,17.779602,24139
unknown,357500,357.500,,,28669,13.335163,24146
unknown,360000,360.000,,,28672,7.938105,24164
unknown,362500,362.500,,,28666,1.598703,24138
unknown,365000,365.000,,,28661,-5.663162,24136
unknown,367500,367.500,,,28650,-13.818116,24140
unknown,370000,370.000,,,28647,-22.827508,24145
unknown,372500,372.500,,,28638,-32.643743,24130
unknown,375000,375.000,,,28618,-43.210731,24121
unknown,377500,377.500,,,28577,-54.464423,24115
unknown,380000,380.000,,,28566,-66.333459,24124
unknown,382500,382.500,,,28540,-78.739891,24099
unknown,385000,385.000,,,28516,-91.600000,24092
unknown,387500,387.500,,,28483,-104.825168,24087
unknown,390000,390.000,,,28466,-118.322814,24096
unknown,392500,392.500,,,28449,-131.997384,24070
unknown,395000,395.000,,,28426,-145.751362,24069
unknown,397500,397.500,,,28408,-159.486310,24067
unknown,400000,400.000,,,28398,-173.103917,24078
unknown,402500,402.500,,,28382,-186.507043,24052
unknown,405000,405.000,,,28372,-199.600738,24049
unknown,407500,407.500,,,28350,-212.293245,24048
unknown,410000,410.000,,,28354,-224.496945,24055
unknown,412500,412.500,,,28346,-236.129259,24034
unknown,415000,415.000,,,28339,-247.113480,24033
unknown,417500,417.500,,,28318,-257.379528,24036
unknown,420000,420.000,,,28326,-266.864627,24041
unknown,422500,422.500,,,28319,-275.513883,24023
unknown,425000,425.000,,,28314,-283.280765,24021
unknown,427500,427.500,,,28297,-290.127489,24031
unknown,430000,430.000,,,28310,-296.025282,24030
unknown,432500,432.500,,,28303,-300.954547,24022
unknown,435000,435.000,,,28297,-304.904910,24031
unknown,437500,437.500,,,28669,-307.875157,24146
unknown,440000,440.000,,,28305,-309.873068,24026
unknown,442500,442.500,,,28299,-310.915138,24022
unknown,445000,445.000,,,28301,-311.026200,24024
unknown,447500,447.500,,,28297,-310.238956,24021
unknown,450000,450.000,,,28302,-308.593417,24023
unknown,452500,452.500,,,28307,-306.136268,24026
unknown,455000,455.000,,,28310,-302.920157,24029
unknown,457500,457.500,,,28311,-299.002930,24028
unknown,460000,460.000,,,28321,-294.446813,24029
unknown,462500,462.500,,,28312,-289.317561,24029
unknown,465000,465.000,,,28322,-283.683575,24032
unknown,467500,467.500,,,28322,-277.615013,24036
unknown,470000,470.000,,,28337,-271.182886,24029
unknown,472500,472.500,,,28339,-264.458179,24030
unknown,475000,475.000,,,28347,-257.510986,24042
unknown,477500,477.500,,,28344,-250.409673,24046
unknown,480000,480.000,,,28358,-243.220091,24047
unknown,482500,482.500,,,28357,-236.004843,24044
unknown,485000,485.000,,,28371,-228.822605,24051
unknown,487500,487.500,,,28361,-221.727522,24046
unknown,490000,490.000,,,28373,-214.768685,24052
unknown,492500,492.500,,,28382,-207.989678,24054
unknown,495000,495.000,,,28381,-201.428227,24055
unknown,497500,497.500,,,28389,-195.115930,24053
unknown,500000,500.000,,,28395,-189.078080,24055
unknown,502500,502.500,,,28389,-183.333587,24059
unknown,505000,505.000,,,28399,-177.894987,24057
unknown,507500,507.500,,,28402,-172.768540,24054
unknown,510000,510.000,,,28412,-167.954427,24061
unknown,512500,512.500,,,28414,-163.447012,24065
unknown,515000,515.000,,,28421,-159.235200,24070
unknown,517500,517.500,,,28424,-155.302853,24064
unknown,520000,520.000,,,28440,-151.629275,24070
unknown,522500,522.500,,,28433,-148.189751,24078
unknown,525000,525.000,,,28439,-144.956139,24077
unknown,527500,527.500,,,28448,-141.897487,24065
unknown,530000,530.000,,,28451,-138.980686,24082
unknown,532500,532.500,,,28453,-136.171143,24079
unknown,535000,535.000,,,28456,-133.433453,24084
unknown,537500,537.500,,,28460,-130.732069,24078
unknown,540000,540.000,,,28471,-128.031971,24085
unknown,542500,542.500,,,28466,-125.299295,24084
unknown,545000,545.000,,,28472,-122.501942,24090
